payment_id,loan_id,instalment_number,due_date,scheduled_amount,paid_amount,was_late
LP0000000048,LN00000004,6,2023-01-07,1568.36,1734.9,0
LP0000000049,LN00000004,7,2023-02-07,1568.36,1582.36,0
LP0000000050,LN00000004,8,2023-03-07,1568.36,1561.01,0
LP0000000051,LN00000004,9,2023-04-07,1568.36,1416.0,0
LP0000000052,LN00000004,10,2023-05-07,1568.36,1803.62,0
LP0000000053,LN00000004,11,2023-06-07,1568.36,1634.01,0
LP0000000054,LN00000004,12,2023-07-07,1568.36,1708.98,0
LP0000000055,LN00000004,13,2023-08-07,1568.36,1393.74,0
LP0000000056,LN00000004,14,2023-09-07,1568.36,1650.95,0
LP0000000057,LN00000004,15,2023-10-07,1568.36,1599.29,0
LP0000000058,LN00000004,16,2023-11-07,1568.36,1503.59,0
LP0000000059,LN00000004,17,2023-12-07,1568.36,1558.61,0
LP0000000060,LN00000004,18,2024-01-07,1568.36,1596.0,0
LP0000000061,LN00000005,1,2022-08-28,18984.2,20986.17,0
LP0000000062,LN00000005,2,2022-09-28,18984.2,16313.19,0
LP0000000063,LN00000005,3,2022-10-28,18984.2,20633.85,0
LP0000000064,LN00000005,4,2022-11-28,18984.2,17931.24,0
LP0000000065,LN00000005,5,2022-12-28,18984.2,21592.01,0
LP0000000066,LN00000005,6,2023-01-28,18984.2,20041.42,0
LP0000000067,LN00000005,7,2023-02-28,18984.2,17297.44,0
LP0000000068,LN00000005,8,2023-03-28,18984.2,19110.03,0
LP0000000069,LN00000005,9,2023-04-28,18984.2,21597.61,0
LP0000000070,LN00000005,10,2023-05-28,18984.2,17181.93,0
LP0000000071,LN00000005,11,2023-06-28,18984.2,20311.54,0
LP0000000072,LN00000005,12,2023-07-28,18984.2,20233.8,0
LP0000000073,LN00000005,13,2023-08-28,18984.2,18955.79,0
LP0000000074,LN00000005,14,2023-09-28,18984.2,21831.83,0
LP0000000075,LN00000005,15,2023-10-28,18984.2,18005.19,0
LP0000000076,LN00000005,16,2023-11-28,18984.2,17111.4,0
LP0000000077,LN00000005,17,2023-12-28,18984.2,20235.09,0
LP0000000078,LN00000005,18,2024-01-28,18984.2,20717.18,0
LP0000000079,LN00000006,1,2024-01-13,5096.24,5050.5,0
LP0000000080,LN00000006,2,2024-02-13,5096.24,5261.35,0
LP0000000081,LN00000006,3,2024-03-13,5096.24,4989.56,0
LP0000000082,LN00000006,4,2024-04-13,5096.24,5860.67,0
LP0000000083,LN00000006,5,2024-05-13,5096.24,4361.84,0
LP0000000084,LN00000006,6,2024-06-13,5096.24,5442.23,0
LP0000000085,LN00000006,7,2024-07-13,5096.24,5315.77,0
LP0000000086,LN00000006,8,2024-08-13,5096.24,5075.13,0
LP0000000087,LN00000006,9,2024-09-13,5096.24,5358.24,0
LP0000000088,LN00000006,10,2024-10-13,5096.24,5525.16,0
LP0000000089,LN00000006,11,2024-11-13,5096.24,4707.45,0
LP0000000090,LN00000006,12,2024-12-13,5096.24,4902.26,0
LP0000000091,LN00000006,13,2025-01-13,5096.24,5608.87,0
LP0000000092,LN00000006,14,2025-02-13,5096.24,5088.94,0
LP0000000093,LN00000006,15,2025-03-13,5096.24,5860.67,0
LP0000000094,LN00000006,16,2025-04-13,5096.24,5860.67,0
LP0000000095,LN00000006,17,2025-05-13,5096.24,4864.63,0
LP0000000096,LN00000006,18,2025-06-13,5096.24,5450.07,0
LP0000000097,LN00000007,1,2024-01-24,5563.96,6282.42,0
LP0000000098,LN00000007,2,2024-02-24,5563.96,5152.35,0
LP0000000099,LN00000007,3,2024-03-24,5563.96,5266.18,0
LP0000000100,LN00000007,4,2024-04-24,5563.96,5551.52,0
LP0000000101,LN00000007,5,2024-05-24,5563.96,5258.85,0
LP0000000102,LN00000007,6,2024-06-24,5563.96,5030.88,0
LP0000000103,LN00000007,7,2024-07-24,5563.96,5654.16,0
LP0000000104,LN00000007,8,2024-08-24,5563.96,5435.0,0
LP0000000105,LN00000007,9,2024-09-24,5563.96,5700.43,0
LP0000000106,LN00000007,10,2024-10-24,5563.96,5337.21,0
LP0000000107,LN00000007,11,2024-11-24,5563.96,5177.98,0
LP0000000108,LN00000007,12,2024-12-24,5563.96,5802.32,0
LP0000000109,LN00000007,13,2025-01-24,5563.96,5468.26,0
LP0000000110,LN00000007,14,2025-02-24,5563.96,5704.3,0
LP0000000111,LN00000007,15,2025-03-24,5563.96,4981.68,0
LP0000000112,LN00000007,16,2025-04-24,5563.96,5818.83,0
LP0000000113,LN00000007,17,2025-05-24,5563.96,5279.69,0
LP0000000114,LN00000007,18,2025-06-24,5563.96,6322.67,0
LP0000000115,LN00000008,1,2022-03-28,20326.19,18198.57,0
LP0000000116,LN00000008,2,2022-04-28,20326.19,19880.83,0
LP0000000117,LN00000008,3,2022-05-28,20326.19,20922.76,0
LP0000000118,LN00000008,4,2022-06-28,20326.19,21194.16,0
LP0000000119,LN00000008,5,2022-07-28,20326.19,19449.75,0
LP0000000120,LN00000008,6,2022-08-28,20326.19,22179.78,0
LP0000000121,LN00000008,7,2022-09-28,20326.19,20096.27,0
LP0000000122,LN00000008,8,2022-10-28,20326.19,22179.61,0
LP0000000123,LN00000008,9,2022-11-28,20326.19,19552.35,0
LP0000000124,LN00000008,10,2022-12-28,20326.19,19235.44,0
LP0000000125,LN00000008,11,2023-01-28,20326.19,20963.95,0
LP0000000126,LN00000008,12,2023-02-28,20326.19,18280.08,0
LP0000000127,LN00000008,13,2023-03-28,20326.19,19223.82,0
LP0000000128,LN00000008,14,2023-04-28,20326.19,23375.12,0
LP0000000129,LN00000008,15,2023-05-28,20326.19,20191.8,0
LP0000000130,LN00000008,16,2023-06-28,20326.19,22052.99,0
LP0000000131,LN00000008,17,2023-07-28,20326.19,17782.23,0
LP0000000132,LN00000008,18,2023-08-28,20326.19,21459.37,0
LP0000000133,LN00000009,1,2025-01-01,31448.27,31170.88,0
LP0000000134,LN00000009,2,2025-02-01,31448.27,24775.44,0
LP0000000135,LN00000009,3,2025-03-01,31448.27,31566.09,0
LP0000000136,LN00000009,4,2025-04-01,31448.27,34913.3,0
LP0000000137,LN00000009,5,2025-05-01,31448.27,30964.56,0
LP0000000138,LN00000009,6,2025-06-01,31448.27,32861.33,0
LP0000000139,LN00000009,7,2025-07-01,31448.27,27155.84,0
LP0000000140,LN00000009,8,2025-08-01,31448.27,34110.65,0
LP0000000141,LN00000009,9,2025-09-01,31448.27,33170.11,0
LP0000000142,LN00000009,10,2025-10-01,31448.27,32236.88,0
LP0000000143,LN00000009,11,2025-11-01,31448.27,31730.52,0
LP0000000144,LN00000009,12,2025-12-01,31448.27,32030.84,0
LP0000000145,LN00000009,13,2026-01-01,31448.27,29944.81,0
LP0000000146,LN00000009,14,2026-02-01,31448.27,30472.62,0
LP0000000147,LN00000009,15,2026-03-01,31448.27,28169.85,0
LP0000000148,LN00000009,16,2026-04-01,31448.27,27839.18,0
LP0000000149,LN00000009,17,2026-05-01,31448.27,27292.63,0
LP0000000150,LN00000009,18,2026-06-01,31448.27,31105.12,0
LP0000000151,LN00000010,1,2025-11-23,31413.78,32613.63,0
LP0000000152,LN00000010,2,2025-12-23,31413.78,34786.22,0
LP0000000153,LN00000010,3,2026-01-23,31413.78,30438.15,0
LP0000000154,LN00000010,4,2026-02-23,31413.78,34018.93,0
LP0000000155,LN00000010,5,2026-03-23,31413.78,24353.79,0
LP0000000156,LN00000010,6,2026-04-23,31413.78,30647.32,0
LP0000000157,LN00000010,7,2026-05-23,31413.78,31692.09,0
LP0000000158,LN00000010,8,2026-06-23,31413.78,30227.01,0
LP0000000159,LN00000010,9,2026-07-23,31413.78,32055.79,0
LP0000000160,LN00000010,10,2026-08-23,31413.78,29255.1,0
LP0000000161,LN00000011,1,2022-12-29,30710.49,32805.34,0
LP0000000162,LN00000011,2,2023-01-29,30710.49,30727.95,0
LP0000000163,LN00000011,3,2023-02-28,30710.49,30557.15,0
LP0000000164,LN00000011,4,2023-03-29,30710.49,29715.39,0
LP0000000165,LN00000011,5,2023-04-29,30710.49,31846.19,0
LP0000000166,LN00000011,6,2023-05-29,30710.49,32674.81,0
LP0000000167,LN00000011,7,2023-06-29,30710.49,30011.76,0
LP0000000168,LN00000011,8,2023-07-29,30710.49,35156.77,0
LP0000000169,LN00000011,9,2023-08-29,30710.49,32904.4,0
LP0000000170,LN00000011,10,2023-09-29,30710.49,28889.14,0
LP0000000171,LN00000011,11,2023-10-29,30710.49,31435.9,0
LP0000000172,LN00000011,12,2023-11-29,30710.49,33844.69,0
LP0000000173,LN00000011,13,2023-12-29,30710.49,28373.98,0
LP0000000174,LN00000011,14,2024-01-29,30710.49,33298.01,0
LP0000000175,LN00000011,15,2024-02-29,30710.49,34686.2,0
LP0000000176,LN00000011,16,2024-03-29,30710.49,29736.22,0
LP0000000177,LN00000011,17,2024-04-29,30710.49,32583.1,0
LP0000000178,LN00000011,18,2024-05-29,30710.49,28013.17,0
LP0000000179,LN00000012,1,2022-01-24,1857.68,2061.68,0
LP0000000180,LN00000012,2,2022-02-24,1857.68,1659.74,0
LP0000000181,LN00000012,3,2022-03-24,1857.68,1511.15,0
LP0000000182,LN00000012,4,2022-04-24,1857.68,1799.92,0
LP0000000183,LN00000012,5,2022-05-24,1857.68,1959.35,0
LP0000000184,LN00000012,6,2022-06-24,1857.68,1514.02,0
LP0000000185,LN00000012,7,2022-07-24,1857.68,1875.72,0
LP0000000186,LN00000012,8,2022-08-24,1857.68,1671.43,0
LP0000000187,LN00000012,9,2022-09-24,1857.68,1659.03,0
LP0000000188,LN00000012,10,2022-10-24,1857.68,1878.01,0
LP0000000189,LN00000012,11,2022-11-24,1857.68,2128.6,0
LP0000000190,LN00000012,12,2022-12-24,1857.68,1765.6,0
LP0000000191,LN00000012,13,2023-01-24,1857.68,1807.3,0
LP0000000192,LN00000012,14,2023-02-24,1857.68,1846.64,0
LP0000000193,LN00000012,15,2023-03-24,1857.68,1822.51,0
LP0000000194,LN00000012,16,2023-04-24,1857.68,1786.49,0
LP0000000195,LN00000012,17,2023-05-24,1857.68,1877.68,0
LP0000000196,LN00000012,18,2023-06-24,1857.68,1827.92,0
LP0000000197,LN00000013,1,2026-02-01,9154.46,8707.26,0
LP0000000198,LN00000013,2,2026-03-01,9154.46,7688.88,0
LP0000000199,LN00000013,3,2026-04-01,9154.46,8948.32,0
LP0000000200,LN00000013,4,2026-05-01,9154.46,8302.43,0
LP0000000201,LN00000013,5,2026-06-01,9154.46,8562.76,0
LP0000000202,LN00000013,6,2026-07-01,9154.46,9714.99,0
LP0000000203,LN00000013,7,2026-08-01,9154.46,9544.42,0
LP0000000204,LN00000013,8,2026-09-01,9154.46,9242.79,0
LP0000000205,LN00000014,1,2026-04-23,1177.08,1116.56,0
LP0000000206,LN00000014,2,2026-05-23,1177.08,1106.76,0
LP0000000207,LN00000014,3,2026-06-23,1177.08,1233.75,0
LP0000000208,LN00000014,4,2026-07-23,1177.08,1223.12,0
LP0000000209,LN00000014,5,2026-08-23,1177.08,1156.55,0
LP0000000210,LN00000015,1,2022-01-22,2497.32,2329.07,0
LP0000000211,LN00000015,2,2022-02-22,2497.32,2474.39,0
LP0000000212,LN00000015,3,2022-03-22,2497.32,2608.59,0
LP0000000213,LN00000015,4,2022-04-22,2497.32,2473.4,0
LP0000000214,LN00000015,5,2022-05-22,2497.32,2182.44,0
LP0000000215,LN00000015,6,2022-06-22,2497.32,2372.73,0
LP0000000216,LN00000015,7,2022-07-22,2497.32,2871.92,0
LP0000000217,LN00000015,8,2022-08-22,2497.32,2691.64,0
LP0000000218,LN00000015,9,2022-09-22,2497.32,2686.71,0
LP0000000219,LN00000015,10,2022-10-22,2497.32,2358.1,0
LP0000000220,LN00000015,11,2022-11-22,2497.32,2489.75,0
LP0000000221,LN00000015,12,2022-12-22,2497.32,2640.26,0
LP0000000222,LN00000015,13,2023-01-22,2497.32,2263.12,0
LP0000000223,LN00000015,14,2023-02-22,2497.32,2779.67,0
LP0000000224,LN00000015,15,2023-03-22,2497.32,2370.25,0
LP0000000225,LN00000015,16,2023-04-22,2497.32,2318.1,0
LP0000000226,LN00000015,17,2023-05-22,2497.32,2535.72,0
LP0000000227,LN00000015,18,2023-06-22,2497.32,2462.7,0
LP0000000228,LN00000016,1,2024-11-30,58111.58,57514.32,0
LP0000000229,LN00000016,2,2024-12-30,58111.58,56826.11,0
LP0000000230,LN00000016,3,2025-01-30,58111.58,58939.47,0
LP0000000231,LN00000016,4,2025-02-28,58111.58,58295.51,0
LP0000000232,LN00000016,5,2025-03-30,58111.58,61088.74,0
LP0000000233,LN00000016,6,2025-04-30,58111.58,50996.29,0
LP0000000234,LN00000016,7,2025-05-30,58111.58,59550.69,0
LP0000000235,LN00000016,8,2025-06-30,58111.58,52211.37,0
LP0000000236,LN00000016,9,2025-07-30,58111.58,60283.05,0
LP0000000237,LN00000016,10,2025-08-30,58111.58,56826.59,0
LP0000000238,LN00000016,11,2025-09-30,58111.58,66828.32,0
LP0000000239,LN00000016,12,2025-10-30,58111.58,62005.12,0
LP0000000240,LN00000016,13,2025-11-30,58111.58,56431.6,0
LP0000000241,LN00000016,14,2025-12-30,58111.58,62638.14,0
LP0000000242,LN00000016,15,2026-01-30,58111.58,52086.52,0
LP0000000243,LN00000016,16,2026-02-28,58111.58,60989.05,0
LP0000000244,LN00000016,17,2026-03-30,58111.58,65581.46,0
LP0000000245,LN00000016,18,2026-04-30,58111.58,56131.48,0
LP0000000246,LN00000017,1,2024-11-29,97829.95,112504.44,0
LP0000000247,LN00000017,2,2024-12-29,97829.95,96391.6,0
LP0000000248,LN00000017,3,2025-01-29,97829.95,84874.57,0
LP0000000249,LN00000017,4,2025-02-28,97829.95,101259.52,0
LP0000000250,LN00000017,5,2025-03-29,97829.95,98423.98,0
LP0000000251,LN00000017,6,2025-04-29,97829.95,93621.83,0
LP0000000252,LN00000017,7,2025-05-29,97829.95,89245.21,0
LP0000000253,LN00000017,8,2025-06-29,97829.95,108693.31,0
LP0000000254,LN00000017,9,2025-07-29,97829.95,101553.21,0
LP0000000255,LN00000017,10,2025-08-29,97829.95,94080.38,0
LP0000000256,LN00000017,11,2025-09-29,97829.95,93282.11,0
LP0000000257,LN00000017,12,2025-10-29,97829.95,91457.3,0
LP0000000258,LN00000017,13,2025-11-29,97829.95,109993.17,0
LP0000000259,LN00000017,14,2025-12-29,97829.95,90640.08,0
LP0000000260,LN00000017,15,2026-01-29,97829.95,82978.66,0
LP0000000261,LN00000017,16,2026-02-28,97829.95,90472.58,0
LP0000000262,LN00000017,17,2026-03-29,97829.95,99875.53,0
LP0000000263,LN00000017,18,2026-04-29,97829.95,108666.46,0
LP0000000264,LN00000018,1,2026-06-14,5446.17,5802.68,0
LP0000000265,LN00000018,2,2026-07-14,5446.17,5281.53,0
LP0000000266,LN00000018,3,2026-08-14,5446.17,6004.84,0
LP0000000267,LN00000019,1,2024-11-11,8248.51,8165.88,0
LP0000000268,LN00000019,2,2024-12-11,8248.51,7274.36,0
LP0000000269,LN00000019,3,2025-01-11,8248.51,8071.18,0
LP0000000270,LN00000019,4,2025-02-11,8248.51,7227.9,0
LP0000000271,LN00000019,5,2025-03-11,8248.51,7750.5,0
LP0000000272,LN00000019,6,2025-04-11,8248.51,8609.66,0
LP0000000273,LN00000019,7,2025-05-11,8248.51,8723.88,0
LP0000000274,LN00000019,8,2025-06-11,8248.51,8347.5,0
LP0000000275,LN00000019,9,2025-07-11,8248.51,7606.77,0
LP0000000276,LN00000019,10,2025-08-11,8248.51,8106.56,0
LP0000000277,LN00000019,11,2025-09-11,8248.51,8223.19,0
LP0000000278,LN00000019,12,2025-10-11,8248.51,8137.42,0
LP0000000279,LN00000019,13,2025-11-11,8248.51,8785.13,0
LP0000000280,LN00000019,14,2025-12-11,8248.51,8567.52,0
LP0000000281,LN00000019,15,2026-01-11,8248.51,7602.92,0
LP0000000282,LN00000019,16,2026-02-11,8248.51,8945.48,0
LP0000000283,LN00000019,17,2026-03-11,8248.51,7896.14,0
LP0000000284,LN00000019,18,2026-04-11,8248.51,8953.09,0
LP0000000285,LN00000020,1,2026-01-01,11026.55,11246.16,0
LP0000000286,LN00000020,2,2026-02-01,11026.55,10297.02,0
LP0000000287,LN00000020,3,2026-03-01,11026.55,10869.81,0
LP0000000288,LN00000020,4,2026-04-01,11026.55,9623.68,0
LP0000000289,LN00000020,5,2026-05-01,11026.55,9168.46,0
LP0000000290,LN00000020,6,2026-06-01,11026.55,11563.61,0
LP0000000291,LN00000020,7,2026-07-01,11026.55,11135.3,0
LP0000000292,LN00000020,8,2026-08-01,11026.55,10007.64,0
LP0000000293,LN00000020,9,2026-09-01,11026.55,11971.32,0
LP0000000294,LN00000021,1,2021-01-30,8980.63,9271.79,0
LP0000000295,LN00000021,2,2021-02-28,8980.63,9577.22,0
LP0000000296,LN00000021,3,2021-03-30,8980.63,7949.42,0
LP0000000297,LN00000021,4,2021-04-30,8980.63,8948.55,0
LP0000000298,LN00000021,5,2021-05-30,8980.63,8874.74,0
LP0000000299,LN00000021,6,2021-06-30,8980.63,9194.38,0
LP0000000300,LN00000021,7,2021-07-30,8980.63,8715.29,0
LP0000000301,LN00000021,8,2021-08-30,8980.63,8628.7,0
LP0000000302,LN00000021,9,2021-09-30,8980.63,8772.93,0
LP0000000303,LN00000021,10,2021-10-30,8980.63,9566.6,0
LP0000000304,LN00000021,11,2021-11-30,8980.63,8043.99,0
LP0000000305,LN00000021,12,2021-12-30,8980.63,8338.87,0
LP0000000306,LN00000021,13,2022-01-30,8980.63,10201.12,0
LP0000000307,LN00000021,14,2022-02-28,8980.63,10327.72,0
LP0000000308,LN00000021,15,2022-03-30,8980.63,9917.11,0
LP0000000309,LN00000021,16,2022-04-30,8980.63,8848.54,0
LP0000000310,LN00000021,17,2022-05-30,8980.63,8767.89,0
LP0000000311,LN00000021,18,2022-06-30,8980.63,9877.78,0
LP0000000312,LN00000022,1,2024-10-01,3326.73,3546.34,0
LP0000000313,LN00000022,2,2024-11-01,3326.73,3385.43,0
LP0000000314,LN00000022,3,2024-12-01,3326.73,3388.32,0
LP0000000315,LN00000022,4,2025-01-01,3326.73,3066.4,0
LP0000000316,LN00000022,5,2025-02-01,3326.73,3661.43,0
LP0000000317,LN00000022,6,2025-03-01,3326.73,3586.04,0
LP0000000318,LN00000022,7,2025-04-01,3326.73,3309.5,0
LP0000000319,LN00000022,8,2025-05-01,3326.73,3042.76,0
LP0000000320,LN00000022,9,2025-06-01,3326.73,2936.17,0
LP0000000321,LN00000022,10,2025-07-01,3326.73,3586.55,0
LP0000000322,LN00000022,11,2025-08-01,3326.73,3372.26,0
LP0000000323,LN00000022,12,2025-09-01,3326.73,3122.78,0
LP0000000324,LN00000022,13,2025-10-01,3326.73,3393.86,0
LP0000000325,LN00000022,14,2025-11-01,3326.73,3767.52,0
LP0000000326,LN00000022,15,2025-12-01,3326.73,3631.89,0
LP0000000327,LN00000022,16,2026-01-01,3326.73,3258.57,0
LP0000000328,LN00000022,17,2026-02-01,3326.73,3392.39,0
LP0000000329,LN00000022,18,2026-03-01,3326.73,3328.34,0
LP0000000330,LN00000023,1,2021-10-16,5579.8,5661.13,0
LP0000000331,LN00000023,2,2021-11-16,5579.8,5541.58,0
LP0000000332,LN00000023,3,2021-12-16,5579.8,5826.05,0
LP0000000333,LN00000023,4,2022-01-16,5579.8,5666.41,0
LP0000000334,LN00000023,5,2022-02-16,5579.8,4905.37,0
LP0000000335,LN00000023,6,2022-03-16,5579.8,6416.77,0
LP0000000336,LN00000023,7,2022-04-16,5579.8,4986.67,0
LP0000000337,LN00000023,8,2022-05-16,5579.8,5382.39,0
LP0000000338,LN00000023,9,2022-06-16,5579.8,5733.92,0
LP0000000339,LN00000023,10,2022-07-16,5579.8,6133.33,0
LP0000000340,LN00000023,11,2022-08-16,5579.8,5757.77,0
LP0000000341,LN00000023,12,2022-09-16,5579.8,5902.34,0
LP0000000342,LN00000023,13,2022-10-16,5579.8,5876.25,0
LP0000000343,LN00000023,14,2022-11-16,5579.8,5284.18,0
LP0000000344,LN00000023,15,2022-12-16,5579.8,4441.52,0
LP0000000345,LN00000023,16,2023-01-16,5579.8,6198.74,0
LP0000000346,LN00000023,17,2023-02-16,5579.8,5128.21,0
LP0000000347,LN00000023,18,2023-03-16,5579.8,4925.02,0
LP0000000348,LN00000024,1,2021-09-21,12045.84,13057.03,0
LP0000000349,LN00000024,2,2021-10-21,12045.84,11478.14,0
LP0000000350,LN00000024,3,2021-11-21,12045.84,11722.6,0
LP0000000351,LN00000024,4,2021-12-21,12045.84,9658.83,0
LP0000000352,LN00000024,5,2022-01-21,12045.84,11241.45,0
LP0000000353,LN00000024,6,2022-02-21,12045.84,10735.72,0
LP0000000354,LN00000024,7,2022-03-21,12045.84,12391.52,0
LP0000000355,LN00000024,8,2022-04-21,12045.84,11900.31,0
LP0000000356,LN00000024,9,2022-05-21,12045.84,10699.55,0
LP0000000357,LN00000024,10,2022-06-21,12045.84,10631.77,0
LP0000000358,LN00000024,11,2022-07-21,12045.84,11729.68,0
LP0000000359,LN00000024,12,2022-08-21,12045.84,12877.45,0
LP0000000360,LN00000024,13,2022-09-21,12045.84,13645.68,0
LP0000000361,LN00000024,14,2022-10-21,12045.84,9859.75,0
LP0000000362,LN00000024,15,2022-11-21,12045.84,10613.72,0
LP0000000363,LN00000024,16,2022-12-21,12045.84,11771.5,0
LP0000000364,LN00000024,17,2023-01-21,12045.84,13199.04,0
LP0000000365,LN00000024,18,2023-02-21,12045.84,10760.16,0
LP0000000366,LN00000025,1,2021-12-14,22300.7,21457.44,0
LP0000000367,LN00000025,2,2022-01-14,22300.7,20697.29,0
LP0000000368,LN00000025,3,2022-02-14,22300.7,24219.72,0
LP0000000369,LN00000025,4,2022-03-14,22300.7,20141.45,0
LP0000000370,LN00000025,5,2022-04-14,22300.7,23291.6,0
LP0000000371,LN00000025,6,2022-05-14,22300.7,23908.17,0
LP0000000372,LN00000025,7,2022-06-14,22300.7,18341.77,0
LP0000000373,LN00000025,8,2022-07-14,22300.7,17734.18,0
LP0000000374,LN00000025,9,2022-08-14,22300.7,22160.18,0
LP0000000375,LN00000025,10,2022-09-14,22300.7,25591.04,0
LP0000000376,LN00000025,11,2022-10-14,22300.7,22591.15,0
LP0000000377,LN00000025,12,2022-11-14,22300.7,22035.56,0
LP0000000378,LN00000025,13,2022-12-14,22300.7,22677.83,0
LP0000000379,LN00000025,14,2023-01-14,22300.7,23552.71,0
LP0000000380,LN00000025,15,2023-02-14,22300.7,22966.93,0
LP0000000381,LN00000025,16,2023-03-14,22300.7,20348.68,0
LP0000000382,LN00000025,17,2023-04-14,22300.7,22789.15,0
LP0000000383,LN00000025,18,2023-05-14,22300.7,25019.5,0
LP0000000384,LN00000026,1,2025-08-12,416.67,424.75,0
LP0000000385,LN00000026,2,2025-09-12,416.67,463.84,0
LP0000000386,LN00000026,3,2025-10-12,416.67,423.6,0
LP0000000387,LN00000026,4,2025-11-12,416.67,441.33,0
LP0000000388,LN00000026,5,2025-12-12,416.67,414.68,0
LP0000000389,LN00000026,6,2026-01-12,416.67,398.87,0
LP0000000390,LN00000026,7,2026-02-12,416.67,385.51,0
LP0000000391,LN00000026,8,2026-03-12,416.67,364.25,0
LP0000000392,LN00000026,9,2026-04-12,416.67,432.23,0
LP0000000393,LN00000026,10,2026-05-12,416.67,435.85,0
LP0000000394,LN00000026,11,2026-06-12,416.67,372.19,0
LP0000000395,LN00000026,12,2026-07-12,416.67,424.78,0
LP0000000396,LN00000026,13,2026-08-12,416.67,442.43,0
LP0000000397,LN00000027,1,2021-01-28,22946.82,22343.32,0
LP0000000398,LN00000027,2,2021-02-28,22946.82,24077.71,0
LP0000000399,LN00000027,3,2021-03-28,22946.82,24776.11,0
LP0000000400,LN00000027,4,2021-04-28,22946.82,21255.97,0
LP0000000401,LN00000027,5,2021-05-28,22946.82,20630.11,0
LP0000000402,LN00000027,6,2021-06-28,22946.82,22320.88,0
LP0000000403,LN00000027,7,2021-07-28,22946.82,23023.3,0
LP0000000404,LN00000027,8,2021-08-28,22946.82,23140.12,0
LP0000000405,LN00000027,9,2021-09-28,22946.82,20746.62,0
LP0000000406,LN00000027,10,2021-10-28,22946.82,25664.14,0
LP0000000407,LN00000027,11,2021-11-28,22946.82,23266.32,0
LP0000000408,LN00000027,12,2021-12-28,22946.82,25287.2,0
LP0000000409,LN00000027,13,2022-01-28,22946.82,20103.15,0
LP0000000410,LN00000027,14,2022-02-28,22946.82,24271.69,0
