account_id,customer_id,branch_id,account_type,open_date,status,current_balance,interest_rate
AC00000040,CU00002137,BR016,Savings,2021-12-12,Active,32341.77,2.7
AC00000041,CU00002373,BR020,Current,2019-06-18,Active,14241.94,0.0
AC00000042,CU00002108,BR011,Savings,2024-04-17,Active,101140.49,2.7
AC00000043,CU00000486,BR006,Salary,2022-05-23,Active,8709.65,2.5
AC00000044,CU00001638,BR013,Salary,2021-04-18,Active,48776.62,2.5
AC00000045,CU00000680,BR024,Current,2023-09-14,Active,47738.83,0.0
AC00000046,CU00001308,BR004,Savings,2024-12-17,Active,9713.47,2.7
AC00000047,CU00001562,BR007,Savings,2023-01-09,Active,44079.75,2.7
AC00000048,CU00000829,BR008,Savings,2025-11-01,Active,139343.11,2.7
AC00000049,CU00002611,BR017,Current,2019-04-16,Active,91214.34,0.0
AC00000050,CU00003311,BR018,Savings,2024-06-17,Active,624838.99,2.7
AC00000051,CU00000236,BR011,Current,2024-04-05,Active,38807.01,0.0
AC00000052,CU00000763,BR011,Current,2021-12-29,Active,63179.03,0.0
AC00000053,CU00001419,BR017,Savings,2018-11-19,Active,27558.67,2.7
AC00000054,CU00002704,BR019,Savings,2018-11-06,Active,12957.76,2.7
AC00000055,CU00001284,BR009,Savings,2019-10-10,Active,61502.79,2.7
AC00000056,CU00004482,BR003,Savings,2020-10-26,Active,8915.97,2.7
AC00000057,CU00000056,BR007,Salary,2019-12-06,Active,14863.67,2.5
AC00000058,CU00002125,BR005,Savings,2022-03-26,Active,3438.94,2.7
AC00000059,CU00001050,BR015,Savings,2024-03-07,Active,3069.47,2.7
AC00000060,CU00003822,BR010,Salary,2018-12-08,Dormant,43808.2,2.5
AC00000061,CU00003339,BR008,Current,2018-08-02,Active,83259.56,0.0
AC00000062,CU00003918,BR024,Savings,2026-05-28,Active,24336.45,2.7
AC00000063,CU00002645,BR005,Salary,2020-01-16,Active,6224.92,2.5
AC00000064,CU00003604,BR017,Savings,2020-11-01,Active,125486.37,2.7
AC00000065,CU00004190,BR018,Savings,2025-07-25,Active,105796.81,2.7
AC00000066,CU00003656,BR010,Savings,2021-02-10,Active,20251.21,2.7
AC00000067,CU00002099,BR001,Savings,2026-04-25,Active,4927.29,2.7
AC00000068,CU00004199,BR005,Fixed Deposit,2019-06-28,Active,159464.02,7.1
AC00000069,CU00003096,BR014,Savings,2022-05-27,Active,26553.41,2.7
AC00000070,CU00004120,BR002,Salary,2021-08-27,Active,23293.21,2.5
AC00000071,CU00000920,BR020,Fixed Deposit,2021-11-18,Active,166116.56,7.1
AC00000072,CU00000588,BR020,Current,2022-05-10,Active,47784.02,0.0
AC00000073,CU00001697,BR003,Salary,2023-04-01,Active,25339.14,2.5
AC00000074,CU00000479,BR009,Savings,2024-12-19,Active,21958.02,2.7
AC00000075,CU00004320,BR012,Fixed Deposit,2025-06-25,Active,401090.15,7.1
AC00000076,CU00004532,BR010,Salary,2024-10-31,Active,6898.96,2.5
AC00000077,CU00000088,BR012,Salary,2019-06-25,Active,45288.25,2.5
AC00000078,CU00002939,BR018,Fixed Deposit,2023-09-02,Active,105647.49,7.1
AC00000079,CU00004842,BR013,Fixed Deposit,2022-12-21,Dormant,430195.07,7.1
AC00000080,CU00001543,BR002,Savings,2024-05-12,Active,115700.15,2.7
AC00000081,CU00002537,BR019,Savings,2024-03-05,Active,93110.41,2.7
AC00000082,CU00001893,BR024,Savings,2018-06-18,Active,27404.32,2.7
AC00000083,CU00001402,BR008,Current,2021-04-02,Active,46434.62,0.0
AC00000084,CU00002068,BR015,Fixed Deposit,2020-06-18,Active,37765.19,7.1
AC00000085,CU00000462,BR009,Salary,2022-08-10,Active,13483.09,2.5
AC00000086,CU00000741,BR019,Savings,2022-03-29,Active,7291.6,2.7
AC00000087,CU00001904,BR006,Fixed Deposit,2021-09-04,Active,172583.49,7.1
AC00000088,CU00004660,BR015,Salary,2022-08-04,Active,27665.89,2.5
AC00000089,CU00004858,BR008,Savings,2018-10-30,Active,7226.32,2.7
AC00000090,CU00000574,BR011,Savings,2026-06-01,Active,7216.42,2.7
AC00000091,CU00004935,BR001,Savings,2020-11-28,Active,28220.44,2.7
AC00000092,CU00002008,BR021,Savings,2023-12-17,Active,40699.94,2.7
AC00000093,CU00000693,BR002,Savings,2019-07-17,Active,23744.51,2.7
AC00000094,CU00000237,BR007,Salary,2022-10-16,Active,50996.42,2.5
AC00000095,CU00000500,BR006,Salary,2025-03-27,Active,50080.82,2.5
AC00000096,CU00000017,BR011,Salary,2023-09-23,Dormant,3149.24,2.5
AC00000097,CU00002478,BR007,Salary,2025-03-03,Active,22167.36,2.5
AC00000098,CU00002648,BR005,Salary,2023-06-06,Active,1301.55,2.5
AC00000099,CU00002039,BR020,Salary,2020-04-04,Active,92306.56,2.5
AC00000100,CU00004855,BR005,Fixed Deposit,2019-04-10,Active,71091.51,7.1
AC00000101,CU00001444,BR015,Salary,2025-05-04,Active,72122.44,2.5
AC00000102,CU00003604,BR001,Savings,2021-04-25,Closed,19166.97,2.7
AC00000103,CU00003402,BR023,Savings,2020-05-03,Active,14102.92,2.7
AC00000104,CU00003549,BR014,Fixed Deposit,2025-01-08,Active,987923.81,7.1
AC00000105,CU00000018,BR006,Fixed Deposit,2019-10-25,Active,187741.73,7.1
AC00000106,CU00003070,BR017,Savings,2025-07-18,Active,20430.91,2.7
AC00000107,CU00003128,BR007,Current,2022-02-26,Active,18464.86,0.0
AC00000108,CU00002704,BR009,Salary,2023-09-23,Active,18288.97,2.5
AC00000109,CU00002478,BR009,Savings,2024-06-05,Active,6548.48,2.7
AC00000110,CU00001496,BR024,Fixed Deposit,2023-12-01,Active,282545.99,7.1
AC00000111,CU00004195,BR004,Savings,2025-08-16,Active,6681.25,2.7
AC00000112,CU00002691,BR014,Savings,2019-04-18,Active,7637.25,2.7
AC00000113,CU00003018,BR003,Savings,2019-12-13,Active,3973.53,2.7
AC00000114,CU00001433,BR004,Salary,2024-12-23,Closed,24095.03,2.5
AC00000115,CU00000778,BR008,Salary,2018-11-15,Active,185888.8,2.5
AC00000116,CU00004412,BR003,Savings,2019-08-28,Active,49611.24,2.7
AC00000117,CU00000951,BR024,Savings,2021-10-29,Active,6855.75,2.7
AC00000118,CU00002538,BR005,Salary,2020-04-23,Active,11594.68,2.5
AC00000119,CU00003224,BR013,Fixed Deposit,2020-05-09,Active,300901.34,7.1
AC00000120,CU00002951,BR002,Savings,2019-07-06,Active,23206.78,2.7
AC00000121,CU00001671,BR008,Salary,2020-11-14,Active,53996.35,2.5
AC00000122,CU00002097,BR008,Savings,2021-05-06,Active,39405.9,2.7
AC00000123,CU00004607,BR021,Savings,2020-07-10,Active,6324.79,2.7
AC00000124,CU00003338,BR019,Savings,2021-11-06,Active,15776.99,2.7
AC00000125,CU00003452,BR022,Savings,2020-03-22,Active,113587.2,2.7
AC00000126,CU00004336,BR008,Salary,2026-07-29,Active,37064.29,2.5
AC00000127,CU00002185,BR009,Savings,2019-09-03,Active,19066.66,2.7
AC00000128,CU00003338,BR015,Salary,2025-03-13,Closed,41887.27,2.5
AC00000129,CU00001033,BR005,Salary,2019-02-28,Active,49318.8,2.5
AC00000130,CU00000278,BR017,Savings,2022-07-20,Active,28019.62,2.7
AC00000131,CU00003950,BR004,Salary,2021-01-30,Active,6177.18,2.5
AC00000132,CU00002106,BR009,Savings,2019-09-25,Active,19375.39,2.7
AC00000133,CU00002088,BR006,Savings,2022-05-19,Active,100768.7,2.7
AC00000134,CU00003724,BR015,Current,2019-08-16,Active,8201.77,0.0
AC00000135,CU00001613,BR019,Savings,2022-01-12,Closed,43500.79,2.7
AC00000136,CU00001303,BR005,Savings,2018-12-13,Active,36791.4,2.7
AC00000137,CU00001931,BR023,Savings,2023-10-04,Active,59588.56,2.7
AC00000138,CU00003378,BR021,Savings,2022-03-22,Active,4573.03,2.7
AC00000139,CU00003379,BR020,Current,2022-01-29,Active,22667.99,0.0
AC00000140,CU00001187,BR009,Savings,2025-03-06,Active,59988.01,2.7
AC00000141,CU00001806,BR013,Fixed Deposit,2020-04-22,Closed,304700.62,7.1
AC00000142,CU00002028,BR024,Current,2024-11-04,Active,1742.56,0.0
AC00000143,CU00000322,BR024,Savings,2019-09-01,Active,17897.85,2.7
AC00000144,CU00003239,BR022,Savings,2021-07-29,Active,23678.06,2.7
AC00000145,CU00003234,BR014,Current,2019-12-29,Active,12467.68,0.0
AC00000146,CU00000120,BR021,Fixed Deposit,2019-09-04,Active,204592.7,7.1
AC00000147,CU00001789,BR024,Savings,2024-01-17,Active,60265.35,2.7
AC00000148,CU00003904,BR005,Savings,2025-05-13,Active,114796.71,2.7
AC00000149,CU00003352,BR001,Savings,2021-07-22,Active,75840.26,2.7
AC00000150,CU00002431,BR002,Savings,2021-02-10,Active,41263.94,2.7
AC00000151,CU00004698,BR011,Fixed Deposit,2025-03-16,Active,53229.36,7.1
AC00000152,CU00001217,BR014,Savings,2021-02-11,Active,5588.07,2.7
AC00000153,CU00004569,BR013,Savings,2019-09-15,Active,90274.26,2.7
AC00000154,CU00003699,BR013,Savings,2026-01-07,Active,6164.15,2.7
AC00000155,CU00004328,BR010,Salary,2021-03-10,Active,10298.08,2.5
AC00000156,CU00001678,BR024,Savings,2023-12-22,Active,18569.73,2.7
AC00000157,CU00001087,BR021,Salary,2019-11-08,Active,84966.51,2.5
AC00000158,CU00003440,BR013,Current,2025-01-15,Active,10261.75,0.0
AC00000159,CU00002929,BR005,Savings,2024-09-02,Active,11426.65,2.7
AC00000160,CU00000696,BR004,Savings,2021-02-28,Dormant,17250.51,2.7
AC00000161,CU00002590,BR024,Salary,2026-05-10,Active,43239.49,2.5
AC00000162,CU00003167,BR017,Fixed Deposit,2019-12-23,Active,182866.19,7.1
AC00000163,CU00004159,BR010,Salary,2022-06-22,Active,7550.59,2.5
AC00000164,CU00004585,BR010,Savings,2021-01-14,Active,9882.25,2.7
AC00000165,CU00004019,BR015,Savings,2018-12-25,Active,15952.65,2.7
AC00000166,CU00004108,BR007,Fixed Deposit,2026-04-17,Active,660243.14,7.1
AC00000167,CU00000378,BR022,Savings,2023-12-25,Active,222919.66,2.7
AC00000168,CU00001917,BR001,Fixed Deposit,2019-08-06,Active,405963.11,7.1
AC00000169,CU00004241,BR010,Salary,2019-11-05,Active,32655.42,2.5
AC00000170,CU00003283,BR013,Savings,2025-01-21,Active,40000.0,2.7
AC00000171,CU00001653,BR008,Fixed Deposit,2021-10-06,Active,638607.63,7.1
AC00000172,CU00000594,BR019,Savings,2020-07-18,Active,5048.64,2.7
AC00000173,CU00004856,BR011,Savings,2026-05-09,Active,42037.39,2.7
AC00000174,CU00004246,BR006,Salary,2018-09-13,Active,10667.1,2.5
AC00000175,CU00000743,BR017,Savings,2021-03-28,Active,7325.0,2.7
AC00000176,CU00003031,BR010,Savings,2024-05-15,Active,49567.44,2.7
AC00000177,CU00004653,BR012,Fixed Deposit,2024-04-07,Active,76499.32,7.1
AC00000178,CU00001452,BR004,Savings,2019-07-06,Active,23963.39,2.7
AC00000179,CU00003185,BR020,Salary,2023-02-06,Active,6540.66,2.5
AC00000180,CU00004293,BR023,Fixed Deposit,2020-04-03,Active,81900.96,7.1
AC00000181,CU00000208,BR004,Current,2026-02-07,Active,19106.29,0.0
AC00000182,CU00000531,BR013,Savings,2021-03-30,Active,184330.19,2.7
AC00000183,CU00003763,BR012,Savings,2023-03-17,Active,15404.77,2.7
AC00000184,CU00000969,BR012,Salary,2020-11-18,Active,28862.71,2.5
AC00000185,CU00004575,BR014,Savings,2020-06-27,Dormant,2400.15,2.7
AC00000186,CU00003763,BR023,Salary,2021-10-25,Active,44965.54,2.5
AC00000187,CU00002888,BR001,Savings,2023-10-05,Active,24524.17,2.7
AC00000188,CU00001801,BR010,Savings,2021-01-30,Active,94403.14,2.7
AC00000189,CU00002730,BR023,Current,2024-05-22,Active,19012.5,0.0
AC00000190,CU00001156,BR012,Savings,2021-08-25,Active,17996.08,2.7
AC00000191,CU00002324,BR018,Savings,2022-10-09,Active,93433.45,2.7
AC00000192,CU00001352,BR004,Savings,2024-05-16,Active,27780.88,2.7
AC00000193,CU00004798,BR015,Current,2018-07-26,Active,7497.35,0.0
AC00000194,CU00003937,BR005,Savings,2019-07-24,Dormant,23537.46,2.7
AC00000195,CU00002476,BR017,Fixed Deposit,2025-08-16,Active,774657.93,7.1
AC00000196,CU00001062,BR008,Current,2026-06-16,Active,61113.95,0.0
AC00000197,CU00000551,BR007,Salary,2022-08-13,Active,27827.61,2.5
AC00000198,CU00004590,BR022,Savings,2018-10-10,Active,13527.57,2.7
AC00000199,CU00000542,BR008,Savings,2023-01-07,Closed,45901.64,2.7
AC00000200,CU00001772,BR009,Fixed Deposit,2019-01-12,Active,96469.01,7.1
AC00000201,CU00000190,BR011,Savings,2022-02-20,Active,84027.92,2.7
AC00000202,CU00004062,BR018,Savings,2019-06-13,Active,482580.43,2.7
AC00000203,CU00000609,BR019,Savings,2019-08-28,Active,33454.49,2.7
AC00000204,CU00001525,BR014,Savings,2022-08-25,Active,54542.62,2.7
AC00000205,CU00001651,BR019,Savings,2023-06-04,Active,13205.99,2.7
AC00000206,CU00003224,BR018,Salary,2024-05-20,Active,21487.42,2.5
AC00000207,CU00001960,BR022,Savings,2020-09-01,Active,73611.48,2.7
AC00000208,CU00003558,BR014,Savings,2023-06-06,Active,3092.39,2.7
AC00000209,CU00003231,BR022,Savings,2020-11-01,Active,29264.13,2.7
AC00000210,CU00001605,BR019,Savings,2026-04-20,Dormant,20368.55,2.7
AC00000211,CU00004444,BR016,Current,2020-09-03,Active,9775.6,0.0
AC00000212,CU00002391,BR021,Fixed Deposit,2020-05-24,Active,144043.8,7.1
AC00000213,CU00001181,BR017,Savings,2025-07-20,Active,125985.96,2.7
AC00000214,CU00000150,BR003,Savings,2019-04-06,Active,200090.57,2.7
AC00000215,CU00000113,BR005,Current,2019-06-18,Active,24925.41,0.0
AC00000216,CU00000992,BR009,Savings,2021-03-16,Active,16521.5,2.7
AC00000217,CU00001702,BR023,Savings,2021-07-06,Active,14223.01,2.7
AC00000218,CU00002953,BR012,Savings,2019-11-16,Active,7326.31,2.7
AC00000219,CU00002345,BR017,Current,2020-06-23,Active,27001.23,0.0
AC00000220,CU00002698,BR023,Salary,2019-05-19,Active,35683.05,2.5
AC00000221,CU00000905,BR019,Savings,2024-01-07,Active,12897.96,2.7
AC00000222,CU00004496,BR013,Savings,2026-06-22,Active,78840.03,2.7
AC00000223,CU00002865,BR001,Salary,2021-10-10,Active,21203.99,2.5
AC00000224,CU00004113,BR015,Savings,2021-02-18,Dormant,7054.47,2.7
AC00000225,CU00004766,BR009,Salary,2026-05-07,Active,21983.86,2.5
AC00000226,CU00004228,BR021,Salary,2023-01-20,Active,105688.63,2.5
AC00000227,CU00000072,BR024,Salary,2019-08-09,Active,105560.26,2.5
AC00000228,CU00004317,BR016,Savings,2026-06-28,Active,65090.2,2.7
AC00000229,CU00000384,BR008,Savings,2019-02-21,Active,14594.78,2.7
AC00000230,CU00000163,BR002,Fixed Deposit,2026-06-11,Active,156894.86,7.1
AC00000231,CU00002026,BR001,Savings,2021-12-11,Active,119201.25,2.7
AC00000232,CU00002706,BR018,Salary,2024-12-26,Active,12852.21,2.5
AC00000233,CU00001391,BR014,Salary,2021-01-10,Active,9460.69,2.5
AC00000234,CU00003558,BR012,Savings,2024-03-10,Active,20971.1,2.7
AC00000235,CU00004275,BR020,Savings,2020-05-04,Active,109810.49,2.7
AC00000236,CU00003410,BR004,Savings,2021-02-18,Active,18234.94,2.7
AC00000237,CU00003198,BR007,Savings,2025-10-01,Active,95395.71,2.7
AC00000238,CU00000164,BR006,Salary,2021-04-07,Active,2370.37,2.5
AC00000239,CU00004025,BR003,Savings,2019-06-01,Active,10653.16,2.7
AC00000240,CU00003718,BR024,Savings,2019-10-01,Active,46554.76,2.7
AC00000241,CU00004373,BR002,Savings,2024-03-05,Dormant,7619.93,2.7
AC00000242,CU00004926,BR010,Salary,2025-07-24,Dormant,7480.2,2.5
AC00000243,CU00001396,BR008,Salary,2023-07-03,Active,26090.49,2.5
AC00000244,CU00001519,BR007,Current,2022-03-22,Active,64616.94,0.0
AC00000245,CU00003511,BR015,Savings,2023-02-26,Active,37346.54,2.7
AC00000246,CU00003629,BR013,Savings,2023-03-20,Active,14123.75,2.7
AC00000247,CU00003112,BR017,Savings,2026-07-21,Active,47925.68,2.7
AC00000248,CU00001533,BR008,Current,2025-04-07,Active,8395.12,0.0
AC00000249,CU00003925,BR024,Savings,2024-10-05,Active,37312.65,2.7
AC00000250,CU00003975,BR011,Salary,2025-11-23,Active,13162.07,2.5
AC00000251,CU00004521,BR001,Savings,2022-08-30,Active,21029.83,2.7
AC00000252,CU00003743,BR016,Salary,2025-03-07,Active,169059.26,2.5
AC00000253,CU00003804,BR017,Salary,2021-02-25,Active,7055.02,2.5
AC00000254,CU00000217,BR017,Salary,2025-09-05,Active,14265.64,2.5
AC00000255,CU00000533,BR020,Savings,2022-05-12,Active,17712.32,2.7
AC00000256,CU00003896,BR015,Current,2018-06-30,Active,24259.88,0.0
AC00000257,CU00000658,BR023,Savings,2019-02-04,Active,65465.02,2.7
AC00000258,CU00004901,BR018,Salary,2022-01-19,Active,280163.11,2.5
AC00000259,CU00004515,BR017,Savings,2020-08-20,Active,14376.81,2.7
AC00000260,CU00001554,BR019,Savings,2023-04-18,Active,11887.5,2.7
AC00000261,CU00004083,BR017,Savings,2020-02-23,Active,15351.77,2.7
AC00000262,CU00003639,BR002,Current,2020-12-20,Active,25570.75,0.0
AC00000263,CU00001939,BR011,Salary,2022-08-13,Active,49366.2,2.5
AC00000264,CU00004952,BR008,Savings,2021-02-04,Active,117146.16,2.7
AC00000265,CU00003448,BR016,Salary,2026-03-12,Active,44550.75,2.5
AC00000266,CU00001615,BR011,Savings,2021-01-03,Active,96312.3,2.7
AC00000267,CU00001801,BR012,Fixed Deposit,2026-04-14,Active,122899.61,7.1
AC00000268,CU00004090,BR004,Savings,2025-03-24,Active,112762.13,2.7
AC00000269,CU00002565,BR008,Salary,2020-02-11,Active,8956.64,2.5
AC00000270,CU00003086,BR012,Savings,2022-03-31,Active,67169.73,2.7
AC00000271,CU00003150,BR017,Salary,2023-08-07,Active,18763.81,2.5
AC00000272,CU00000896,BR017,Fixed Deposit,2023-07-31,Active,512454.43,7.1
AC00000273,CU00002788,BR019,Current,2026-04-28,Active,76476.11,0.0
AC00000274,CU00000157,BR020,Savings,2024-09-29,Dormant,55077.06,2.7
AC00000275,CU00002054,BR012,Salary,2024-01-27,Active,53166.47,2.5
AC00000276,CU00004495,BR009,Salary,2020-04-16,Active,14634.48,2.5
AC00000277,CU00003805,BR012,Savings,2021-11-24,Active,28991.13,2.7
AC00000278,CU00000686,BR004,Savings,2022-08-15,Dormant,18833.14,2.7
AC00000279,CU00000107,BR005,Fixed Deposit,2018-10-10,Active,227400.79,7.1
AC00000280,CU00004834,BR011,Savings,2024-05-12,Active,23143.47,2.7
AC00000281,CU00001393,BR002,Current,2020-07-11,Active,19908.37,0.0
AC00000282,CU00004636,BR022,Savings,2024-07-11,Active,60318.21,2.7
AC00000283,CU00002433,BR001,Savings,2023-12-27,Active,6261.06,2.7
AC00000284,CU00001486,BR008,Salary,2023-07-14,Dormant,21113.71,2.5
AC00000285,CU00002430,BR023,Savings,2018-08-09,Active,39765.55,2.7
AC00000286,CU00000522,BR014,Savings,2018-10-10,Active,12437.09,2.7
AC00000287,CU00004091,BR015,Salary,2022-06-17,Active,36864.39,2.5
AC00000288,CU00003041,BR013,Current,2019-07-22,Active,13155.13,0.0
AC00000289,CU00002312,BR016,Salary,2021-11-01,Active,22351.37,2.5
AC00000290,CU00001433,BR020,Savings,2020-04-17,Active,55478.77,2.7
AC00000291,CU00002366,BR021,Salary,2021-06-18,Active,46110.25,2.5
AC00000292,CU00000840,BR010,Savings,2025-06-04,Active,94325.61,2.7
AC00000293,CU00003184,BR013,Salary,2023-06-16,Active,19960.8,2.5
AC00000294,CU00001502,BR007,Fixed Deposit,2021-09-09,Active,590549.12,7.1
AC00000295,CU00001874,BR010,Savings,2019-04-27,Active,41693.88,2.7
AC00000296,CU00002035,BR017,Savings,2024-07-08,Dormant,23438.46,2.7
AC00000297,CU00000630,BR017,Salary,2022-08-04,Active,18585.79,2.5
AC00000298,CU00000987,BR005,Savings,2022-03-28,Active,7440.94,2.7
AC00000299,CU00001435,BR020,Savings,2019-01-20,Active,36349.73,2.7
AC00000300,CU00004177,BR015,Fixed Deposit,2026-08-10,Active,291558.92,7.1
AC00000301,CU00003266,BR017,Savings,2022-12-20,Active,38724.13,2.7
AC00000302,CU00004285,BR012,Current,2018-12-23,Active,23466.45,0.0
AC00000303,CU00002852,BR024,Salary,2020-10-26,Active,24325.81,2.5
AC00000304,CU00004440,BR024,Savings,2022-10-11,Active,29251.13,2.7
AC00000305,CU00000713,BR013,Salary,2026-08-08,Active,11771.76,2.5
AC00000306,CU00003171,BR009,Current,2020-08-12,Active,3601.4,0.0
AC00000307,CU00002169,BR014,Savings,2026-06-21,Active,16318.14,2.7
AC00000308,CU00003786,BR004,Savings,2020-03-29,Active,7578.74,2.7
AC00000309,CU00004907,BR003,Savings,2023-04-25,Active,54602.45,2.7
AC00000310,CU00004110,BR020,Current,2023-01-06,Active,5543.32,0.0
AC00000311,CU00002256,BR024,Savings,2019-02-24,Active,23478.28,2.7
AC00000312,CU00002183,BR001,Savings,2022-02-23,Active,20514.65,2.7
AC00000313,CU00001878,BR014,Savings,2019-10-02,Dormant,47016.97,2.7
AC00000314,CU00004397,BR014,Savings,2021-06-05,Active,4972.0,2.7
AC00000315,CU00002957,BR007,Savings,2018-07-06,Active,16442.44,2.7
AC00000316,CU00000702,BR006,Savings,2026-01-29,Active,84943.37,2.7
AC00000317,CU00002653,BR002,Savings,2019-10-31,Active,32117.76,2.7
AC00000318,CU00004025,BR003,Fixed Deposit,2025-07-03,Active,149676.98,7.1
AC00000319,CU00001464,BR021,Current,2022-11-18,Active,17737.07,0.0
AC00000320,CU00002142,BR011,Savings,2025-11-10,Active,23245.24,2.7
AC00000321,CU00002458,BR002,Salary,2022-10-12,Active,18054.88,2.5
AC00000322,CU00001474,BR024,Savings,2025-03-07,Active,49334.86,2.7
AC00000323,CU00000845,BR007,Fixed Deposit,2022-03-02,Active,405870.0,7.1
AC00000324,CU00002798,BR008,Savings,2025-02-04,Active,12977.77,2.7
AC00000325,CU00003233,BR009,Savings,2022-03-08,Active,23623.84,2.7
AC00000326,CU00003878,BR003,Salary,2025-04-09,Active,6128.87,2.5
AC00000327,CU00004947,BR014,Savings,2023-03-18,Active,347031.17,2.7
AC00000328,CU00002453,BR017,Savings,2026-01-07,Active,7837.39,2.7
AC00000329,CU00002326,BR010,Salary,2024-02-28,Active,21645.4,2.5
AC00000330,CU00003750,BR018,Salary,2019-06-07,Active,25214.06,2.5
AC00000331,CU00003129,BR004,Savings,2021-05-25,Active,2465.59,2.7
AC00000332,CU00002032,BR019,Fixed Deposit,2025-12-02,Active,51379.5,7.1
AC00000333,CU00004761,BR010,Salary,2025-07-03,Active,31571.67,2.5
AC00000334,CU00002826,BR013,Savings,2022-12-07,Active,61611.65,2.7
AC00000335,CU00000926,BR020,Salary,2024-11-05,Dormant,7393.35,2.5
AC00000336,CU00002005,BR007,Salary,2022-06-29,Active,38548.91,2.5
AC00000337,CU00003514,BR013,Savings,2020-05-12,Active,44025.73,2.7
AC00000338,CU00003712,BR008,Salary,2024-02-16,Active,16999.95,2.5
AC00000339,CU00004105,BR010,Savings,2026-04-09,Active,2810.94,2.7
AC00000340,CU00000642,BR019,Savings,2025-05-26,Active,50595.76,2.7
AC00000341,CU00004138,BR006,Savings,2020-07-14,Active,11788.31,2.7
AC00000342,CU00003932,BR015,Savings,2025-03-13,Active,20193.52,2.7
AC00000343,CU00004269,BR011,Salary,2018-07-29,Active,10661.58,2.5
AC00000344,CU00002619,BR020,Salary,2020-08-04,Active,34737.52,2.5
AC00000345,CU00003853,BR016,Fixed Deposit,2024-01-28,Active,424788.87,7.1
AC00000346,CU00002405,BR012,Savings,2020-08-07,Active,20210.97,2.7
AC00000347,CU00000989,BR001,Savings,2025-10-14,Active,34456.07,2.7
AC00000348,CU00004037,BR019,Savings,2025-12-15,Active,192272.88,2.7
AC00000349,CU00001079,BR020,Savings,2023-08-15,Active,2601.31,2.7
AC00000350,CU00003016,BR017,Savings,2022-10-19,Active,33641.71,2.7
AC00000351,CU00001864,BR019,Current,2020-12-30,Active,4975.45,0.0
AC00000352,CU00004038,BR023,Salary,2023-06-30,Active,35782.08,2.5
