interaction_id,customer_id,interaction_date,channel,reason,resolution_hours,satisfaction_score
IN00000182,CU00001314,2025-05-24,Call Centre,KYC,3.88,5
IN00000183,CU00003343,2025-02-21,Chat,Digital help,5.66,4
IN00000184,CU00004345,2024-12-26,Call Centre,Service request,16.8,4
IN00000185,CU00001410,2025-04-21,Email,KYC,44.89,4
IN00000186,CU00001438,2026-06-11,Chat,Loan enquiry,29.36,4
IN00000187,CU00003512,2025-01-08,App,Complaint,3.9,4
IN00000188,CU00001246,2024-12-16,Branch,KYC,19.64,5
IN00000189,CU00004775,2025-08-03,App,KYC,2.43,4
IN00000190,CU00002011,2026-06-24,Chat,Card issue,17.41,3
IN00000191,CU00003454,2026-08-21,App,Card issue,37.81,1
IN00000192,CU00003932,2026-07-12,Email,Card issue,28.1,5
IN00000193,CU00000796,2026-04-02,App,Digital help,14.68,4
IN00000194,CU00003648,2024-09-01,Branch,Complaint,5.39,4
IN00000195,CU00004887,2026-07-21,Call Centre,Loan enquiry,16.0,5
IN00000196,CU00003031,2024-11-30,Call Centre,Loan enquiry,13.45,5
IN00000197,CU00000553,2025-12-13,Chat,Digital help,5.16,4
IN00000198,CU00002988,2026-06-09,Email,Complaint,17.8,3
IN00000199,CU00002856,2025-01-22,Email,Loan enquiry,44.42,4
IN00000200,CU00003881,2026-02-04,Chat,Loan enquiry,17.16,5
IN00000201,CU00004548,2026-02-27,Chat,Digital help,10.25,2
IN00000202,CU00002047,2024-09-28,App,Complaint,13.23,5
IN00000203,CU00003400,2026-03-30,App,Loan enquiry,10.29,1
IN00000204,CU00000806,2025-10-31,Call Centre,Digital help,61.83,1
IN00000205,CU00004602,2026-06-24,App,Complaint,12.4,4
IN00000206,CU00003200,2025-10-25,Email,Loan enquiry,14.57,1
IN00000207,CU00002568,2025-02-25,Call Centre,Digital help,9.36,4
IN00000208,CU00004870,2026-06-16,Chat,Card issue,10.25,4
IN00000209,CU00001654,2025-10-10,Call Centre,Service request,36.6,5
IN00000210,CU00000981,2025-12-21,Email,Loan enquiry,22.38,5
IN00000211,CU00001065,2026-01-27,Email,Digital help,17.5,3
IN00000212,CU00004490,2024-10-17,Call Centre,Loan enquiry,13.43,4
IN00000213,CU00002592,2026-08-25,Branch,Digital help,32.19,4
IN00000214,CU00002398,2025-04-08,Email,Loan enquiry,13.88,4
IN00000215,CU00000344,2026-05-08,Branch,Card issue,16.54,3
IN00000216,CU00003958,2025-04-06,Chat,Digital help,21.15,3
IN00000217,CU00004325,2026-07-14,Branch,Service request,14.86,4
IN00000218,CU00000821,2026-05-08,Call Centre,Complaint,9.34,2
IN00000219,CU00004574,2026-06-27,Call Centre,Digital help,27.8,5
IN00000220,CU00000033,2026-01-23,Chat,Loan enquiry,21.98,5
IN00000221,CU00004994,2025-03-20,Call Centre,Digital help,9.75,4
IN00000222,CU00000995,2026-08-02,Chat,Loan enquiry,18.13,2
IN00000223,CU00004418,2025-09-24,Email,Service request,12.12,5
IN00000224,CU00000279,2026-08-28,App,Card issue,8.81,4
IN00000225,CU00001963,2025-02-13,Branch,Card issue,19.58,5
IN00000226,CU00003692,2025-08-29,Email,KYC,20.17,2
IN00000227,CU00003843,2025-04-15,Branch,KYC,6.25,4
IN00000228,CU00001754,2026-03-07,App,Service request,27.11,4
IN00000229,CU00002537,2024-12-14,Call Centre,Digital help,17.86,3
IN00000230,CU00004503,2026-02-08,Email,KYC,21.23,5
IN00000231,CU00003211,2025-01-12,Call Centre,Digital help,2.97,3
IN00000232,CU00004436,2026-01-23,App,Complaint,22.32,4
IN00000233,CU00000773,2025-07-06,App,Card issue,13.58,5
IN00000234,CU00004202,2025-09-16,App,Digital help,35.75,3
IN00000235,CU00004294,2025-11-06,App,KYC,19.49,5
IN00000236,CU00002860,2024-09-16,Branch,Service request,26.9,2
IN00000237,CU00002921,2025-06-05,Branch,Loan enquiry,61.4,3
IN00000238,CU00001907,2025-08-03,Email,Service request,14.37,4
IN00000239,CU00002039,2026-01-21,Email,Loan enquiry,7.05,2
IN00000240,CU00002475,2024-09-13,Call Centre,Card issue,4.95,4
IN00000241,CU00003879,2025-08-20,Email,Service request,14.43,3
IN00000242,CU00003347,2026-01-10,App,Loan enquiry,13.61,4
IN00000243,CU00001904,2025-04-06,Call Centre,Digital help,2.37,5
IN00000244,CU00001424,2025-10-14,Branch,Complaint,15.29,5
IN00000245,CU00000252,2025-06-02,Email,Complaint,18.71,4
IN00000246,CU00000312,2026-05-14,Branch,Service request,19.99,5
IN00000247,CU00003599,2025-03-10,Email,Digital help,13.08,4
IN00000248,CU00002864,2025-11-24,Chat,Digital help,35.28,3
IN00000249,CU00000466,2025-06-14,Call Centre,KYC,19.53,4
IN00000250,CU00003777,2024-11-29,Call Centre,Loan enquiry,40.76,5
IN00000251,CU00002577,2025-01-25,App,Complaint,22.61,5
IN00000252,CU00000150,2026-05-30,Branch,Card issue,23.07,3
IN00000253,CU00001456,2024-11-02,Chat,Card issue,34.7,5
IN00000254,CU00000837,2026-06-23,Email,Complaint,9.91,4
IN00000255,CU00001649,2026-03-06,App,Card issue,41.48,2
IN00000256,CU00001639,2024-12-16,Branch,Card issue,4.62,2
IN00000257,CU00003546,2025-06-03,App,KYC,21.5,4
IN00000258,CU00000983,2025-05-11,Chat,Card issue,32.13,4
IN00000259,CU00004818,2024-12-30,Branch,Digital help,9.35,4
IN00000260,CU00000273,2025-01-22,Call Centre,Loan enquiry,11.12,3
IN00000261,CU00000897,2025-01-24,App,Card issue,19.87,2
IN00000262,CU00003554,2025-09-18,Chat,Card issue,27.23,3
IN00000263,CU00004530,2025-03-31,Chat,Loan enquiry,23.17,5
IN00000264,CU00004778,2025-11-03,Email,Complaint,19.94,3
IN00000265,CU00003676,2025-09-28,Email,Card issue,12.38,5
IN00000266,CU00003737,2025-08-09,Chat,Card issue,13.77,4
IN00000267,CU00004462,2026-03-16,Call Centre,Digital help,13.0,5
IN00000268,CU00000500,2026-04-01,Branch,KYC,16.95,4
IN00000269,CU00001467,2026-05-28,Chat,Service request,5.73,4
IN00000270,CU00001957,2025-01-23,Branch,Service request,19.33,3
IN00000271,CU00003748,2026-01-21,Email,Card issue,11.15,3
IN00000272,CU00001838,2025-03-04,Call Centre,Card issue,56.36,3
IN00000273,CU00004926,2024-12-13,Email,Card issue,47.6,1
IN00000274,CU00004638,2026-02-11,Email,Loan enquiry,8.15,5
IN00000275,CU00003481,2026-01-29,Call Centre,Digital help,32.82,4
IN00000276,CU00000901,2026-02-09,App,KYC,24.33,5
IN00000277,CU00003665,2026-07-20,Branch,KYC,8.29,5
IN00000278,CU00001062,2026-05-20,Email,KYC,9.42,4
IN00000279,CU00002026,2024-12-31,Branch,Service request,12.47,3
IN00000280,CU00000626,2024-10-16,Call Centre,Card issue,13.31,5
IN00000281,CU00001856,2024-10-11,Call Centre,Service request,25.61,3
IN00000282,CU00000202,2025-11-06,Branch,Card issue,26.61,3
IN00000283,CU00001828,2026-01-02,App,KYC,12.63,3
IN00000284,CU00003886,2026-05-01,Branch,Card issue,25.69,4
IN00000285,CU00000497,2025-10-18,Call Centre,Complaint,11.28,3
IN00000286,CU00003424,2025-03-27,Chat,Service request,10.6,3
IN00000287,CU00000972,2025-02-20,Call Centre,Service request,19.03,3
IN00000288,CU00000550,2024-11-21,Call Centre,Digital help,8.37,5
IN00000289,CU00003850,2025-03-18,Chat,Digital help,13.99,5
IN00000290,CU00004528,2025-05-22,Email,Loan enquiry,37.41,3
IN00000291,CU00003466,2025-04-26,Chat,Service request,34.41,4
IN00000292,CU00001810,2024-10-09,App,Complaint,12.47,4
IN00000293,CU00000700,2024-11-21,Branch,Card issue,15.19,4
IN00000294,CU00001147,2026-05-07,Email,Digital help,17.64,4
IN00000295,CU00002721,2026-08-11,Email,KYC,12.4,4
IN00000296,CU00000953,2025-11-28,Call Centre,Loan enquiry,5.27,4
IN00000297,CU00003450,2025-09-03,Branch,KYC,6.53,4
IN00000298,CU00001959,2025-03-07,Call Centre,Complaint,9.98,4
IN00000299,CU00002040,2024-09-06,App,KYC,5.8,5
IN00000300,CU00000273,2025-09-17,App,Digital help,20.38,4
IN00000301,CU00004357,2025-11-24,App,Digital help,3.85,3
IN00000302,CU00001896,2025-09-23,Email,KYC,20.23,2
IN00000303,CU00001659,2026-06-27,App,Card issue,9.89,5
IN00000304,CU00000714,2026-07-20,Chat,Card issue,12.81,4
IN00000305,CU00001185,2025-08-28,Chat,Card issue,38.85,2
IN00000306,CU00000935,2024-10-04,Chat,Loan enquiry,24.73,4
IN00000307,CU00000534,2025-03-08,Email,Loan enquiry,41.95,3
IN00000308,CU00001337,2025-02-10,App,Digital help,18.73,4
IN00000309,CU00001986,2024-09-07,Chat,KYC,49.98,2
IN00000310,CU00000977,2026-05-27,Chat,Card issue,19.92,4
IN00000311,CU00001736,2024-12-06,Chat,Loan enquiry,10.59,5
IN00000312,CU00004671,2024-09-26,App,Service request,18.81,3
IN00000313,CU00001729,2026-02-02,App,KYC,17.42,5
IN00000314,CU00002559,2025-02-11,App,KYC,17.14,5
IN00000315,CU00004591,2025-07-19,Call Centre,Complaint,27.22,5
IN00000316,CU00004475,2026-01-05,Call Centre,Digital help,11.22,5
IN00000317,CU00000486,2025-11-17,Branch,Digital help,16.62,3
IN00000318,CU00000782,2025-09-23,Email,Card issue,1.96,5
IN00000319,CU00004932,2025-06-06,Chat,KYC,9.89,1
IN00000320,CU00001671,2025-10-18,Chat,KYC,8.99,4
IN00000321,CU00004579,2025-06-03,Email,Complaint,17.95,4
IN00000322,CU00004521,2025-01-15,Chat,KYC,8.29,4
IN00000323,CU00002611,2026-04-11,Chat,Loan enquiry,7.21,3
IN00000324,CU00003129,2025-03-31,Call Centre,Service request,12.53,5
IN00000325,CU00004757,2024-09-21,Chat,Complaint,28.57,3
IN00000326,CU00001757,2026-01-30,Email,Service request,24.87,4
IN00000327,CU00000944,2026-07-31,Chat,Loan enquiry,10.38,5
IN00000328,CU00001005,2025-10-06,Branch,Loan enquiry,12.34,4
IN00000329,CU00000687,2026-08-16,Call Centre,Service request,3.39,3
IN00000330,CU00004349,2025-07-07,Branch,Service request,11.78,4
IN00000331,CU00003501,2025-07-07,Chat,Loan enquiry,33.14,4
IN00000332,CU00002109,2025-03-03,Branch,Complaint,18.64,4
IN00000333,CU00001083,2025-09-16,Branch,Loan enquiry,6.27,4
IN00000334,CU00002039,2026-05-16,Call Centre,Loan enquiry,17.45,4
IN00000335,CU00002037,2025-05-27,Call Centre,KYC,19.19,4
IN00000336,CU00003030,2026-06-23,Call Centre,Loan enquiry,7.72,3
IN00000337,CU00003409,2025-02-04,Chat,Complaint,9.05,2
IN00000338,CU00000203,2024-11-11,Branch,KYC,32.24,4
IN00000339,CU00003310,2026-06-26,Chat,Complaint,12.71,4
IN00000340,CU00002252,2026-01-27,Call Centre,Service request,27.06,5
IN00000341,CU00000692,2025-08-06,Chat,Service request,17.36,5
IN00000342,CU00001853,2024-11-25,Call Centre,KYC,12.15,1
IN00000343,CU00002131,2025-08-24,Chat,Card issue,8.75,4
IN00000344,CU00000666,2026-08-21,App,Loan enquiry,21.88,4
IN00000345,CU00001927,2026-04-17,App,Digital help,2.44,5
IN00000346,CU00002305,2025-06-05,Chat,Digital help,51.41,4
IN00000347,CU00002026,2024-12-07,Branch,Digital help,25.73,5
IN00000348,CU00003783,2026-08-28,Email,Service request,7.88,4
IN00000349,CU00000968,2025-05-02,Call Centre,KYC,6.26,4
IN00000350,CU00000903,2026-04-21,Email,Digital help,1.31,4
IN00000351,CU00003373,2024-09-17,Email,Complaint,4.8,5
IN00000352,CU00004245,2026-04-06,Chat,Digital help,18.01,5
IN00000353,CU00003882,2026-02-01,Call Centre,Loan enquiry,17.43,4
IN00000354,CU00000999,2025-02-06,Call Centre,KYC,12.71,2
IN00000355,CU00000120,2025-02-02,Chat,KYC,7.38,5
IN00000356,CU00004269,2025-04-21,App,Digital help,26.66,5
IN00000357,CU00001065,2024-11-24,Call Centre,Digital help,11.09,4
IN00000358,CU00004763,2026-05-03,Call Centre,Complaint,42.17,2
IN00000359,CU00002436,2026-05-19,Call Centre,Card issue,14.1,5
IN00000360,CU00001419,2025-10-20,Call Centre,Service request,31.38,4
IN00000361,CU00004065,2025-12-13,Chat,Loan enquiry,5.23,4
IN00000362,CU00001851,2024-12-20,Call Centre,KYC,18.67,4
IN00000363,CU00003497,2024-11-16,App,Card issue,28.02,3
IN00000364,CU00003369,2025-06-24,Branch,Card issue,41.48,1
IN00000365,CU00003669,2026-08-06,Branch,Complaint,44.47,4
IN00000366,CU00003949,2026-04-15,Call Centre,Complaint,56.88,5
IN00000367,CU00003002,2024-12-11,Branch,Card issue,23.5,1
IN00000368,CU00003123,2025-07-15,App,KYC,4.48,4
IN00000369,CU00004860,2025-12-02,Call Centre,Service request,7.79,4
IN00000370,CU00001782,2025-02-25,Branch,Card issue,4.95,5
IN00000371,CU00001738,2025-09-20,Branch,KYC,9.3,4
IN00000372,CU00004570,2025-12-09,Branch,Loan enquiry,7.51,3
IN00000373,CU00003851,2026-08-14,Chat,Card issue,15.54,5
IN00000374,CU00002380,2025-09-08,Chat,Digital help,15.85,4
IN00000375,CU00000005,2024-10-20,Chat,Complaint,19.44,4
IN00000376,CU00001529,2025-06-08,Chat,Service request,23.84,4
IN00000377,CU00000819,2025-04-24,Chat,KYC,10.88,3
IN00000378,CU00003861,2025-11-02,App,Digital help,14.42,3
IN00000379,CU00000233,2025-08-21,Chat,Loan enquiry,9.26,3
IN00000380,CU00000765,2026-03-16,Branch,Digital help,34.64,5
IN00000381,CU00001834,2025-01-26,Branch,Loan enquiry,11.54,1
IN00000382,CU00001188,2025-06-03,Chat,Digital help,5.39,4
IN00000383,CU00002728,2026-08-26,Chat,Digital help,24.85,1
IN00000384,CU00003396,2025-11-15,Chat,KYC,24.69,5
IN00000385,CU00004194,2025-09-14,Email,KYC,43.33,5
IN00000386,CU00003400,2026-01-20,Call Centre,KYC,0.9,2
IN00000387,CU00000230,2024-11-07,Chat,Service request,35.93,4
IN00000388,CU00002177,2024-10-09,Call Centre,Service request,15.38,4
IN00000389,CU00001370,2026-07-18,Chat,KYC,2.66,2
IN00000390,CU00002934,2025-01-09,Email,KYC,10.12,5
IN00000391,CU00000821,2026-01-14,App,Card issue,7.51,3
IN00000392,CU00004261,2025-03-07,Branch,Complaint,10.78,5
IN00000393,CU00001561,2026-04-15,Email,Loan enquiry,16.25,4
IN00000394,CU00004625,2026-07-01,Branch,KYC,33.11,3
IN00000395,CU00004405,2024-10-24,Email,Card issue,5.51,4
IN00000396,CU00000301,2025-01-10,Chat,Card issue,33.68,2
IN00000397,CU00000424,2025-02-20,Chat,Service request,10.57,4
IN00000398,CU00001331,2025-07-04,Email,Digital help,20.37,3
IN00000399,CU00003407,2025-12-03,Call Centre,Complaint,15.92,5
IN00000400,CU00003104,2024-10-09,Call Centre,Digital help,23.13,5
IN00000401,CU00000436,2024-10-09,App,Complaint,36.28,4
IN00000402,CU00000203,2025-06-16,Chat,Complaint,16.67,4
IN00000403,CU00002278,2025-02-21,Email,Complaint,22.97,4
IN00000404,CU00000803,2025-04-13,Chat,Service request,23.85,5
IN00000405,CU00002774,2026-06-28,Chat,KYC,13.06,5
IN00000406,CU00003663,2025-11-17,Call Centre,Card issue,19.35,4
IN00000407,CU00000699,2024-12-24,Branch,Card issue,19.52,5
IN00000408,CU00002864,2025-03-14,Chat,Loan enquiry,21.62,2
