transaction_id,account_id,transaction_ts,transaction_type,channel,merchant_category,amount,status,risk_score,is_high_risk
TX0000000024,AC00002416,2024-11-15 16:47:10,Credit,UPI,Education,354.23,Completed,0.0507,0
TX0000000025,AC00001968,2026-04-20 12:49:08,Credit,Branch,Education,3292.69,Completed,0.1902,0
TX0000000026,AC00005663,2025-08-15 21:50:16,Debit,UPI,Fuel,2760.73,Completed,0.1736,0
TX0000000027,AC00004284,2025-08-02 14:51:00,Credit,Internet Banking,Transfer,11421.03,Completed,0.0551,0
TX0000000028,AC00002979,2025-01-03 10:32:43,Debit,UPI,Utilities,1483.79,Completed,0.0659,0
TX0000000029,AC00003432,2026-03-12 11:41:54,Debit,UPI,Utilities,97980.71,Completed,0.1653,0
TX0000000030,AC00006651,2025-05-08 08:12:57,Debit,Internet Banking,Healthcare,3864.01,Completed,0.033,0
TX0000000031,AC00001871,2026-01-27 02:21:04,Credit,POS,Education,2201.83,Completed,0.2501,0
TX0000000032,AC00003893,2024-11-26 16:10:37,Credit,UPI,E-commerce,3377.76,Completed,0.0044,0
TX0000000033,AC00004225,2024-12-01 14:03:29,Credit,UPI,Fuel,2012.32,Completed,0.1698,0
TX0000000034,AC00004101,2026-04-13 18:36:53,Debit,Mobile Banking,Healthcare,749.46,Completed,0.1701,0
TX0000000035,AC00004340,2026-05-31 14:43:10,Credit,UPI,Travel,4885.8,Completed,0.1525,0
TX0000000036,AC00001133,2026-03-26 08:31:10,Debit,Mobile Banking,Grocery,3283.6,Completed,0.0228,0
TX0000000037,AC00001601,2025-08-08 20:52:57,Debit,ATM,Education,2688.1,Completed,0.1174,0
TX0000000038,AC00006716,2025-05-22 00:05:00,Credit,Mobile Banking,E-commerce,890.49,Completed,0.4605,0
TX0000000039,AC00001764,2024-12-10 14:10:18,Credit,UPI,Healthcare,245.9,Completed,0.0106,0
TX0000000040,AC00004524,2024-09-21 18:29:16,Debit,UPI,Education,1799.58,Completed,0.0298,0
TX0000000041,AC00004116,2025-08-03 10:52:30,Debit,POS,Utilities,7420.13,Completed,0.333,0
TX0000000042,AC00004972,2025-01-06 03:47:53,Debit,Mobile Banking,E-commerce,833.27,Completed,0.0661,0
TX0000000043,AC00004749,2024-09-06 18:08:31,Credit,POS,Transfer,590.92,Completed,0.0163,0
TX0000000044,AC00002000,2026-08-31 04:35:22,Credit,UPI,Travel,1298.03,Completed,0.0982,0
TX0000000045,AC00003336,2025-11-06 05:57:56,Debit,Mobile Banking,E-commerce,3548.41,Completed,0.0697,0
TX0000000046,AC00004694,2026-07-18 23:03:44,Debit,UPI,E-commerce,4333.29,Completed,0.0045,0
TX0000000047,AC00004546,2025-04-18 13:27:54,Debit,Mobile Banking,Healthcare,2724.22,Completed,0.0571,0
TX0000000048,AC00002959,2024-11-14 08:41:24,Credit,Internet Banking,E-commerce,11202.86,Completed,0.0505,0
TX0000000049,AC00000045,2024-09-14 12:12:36,Credit,UPI,Education,6008.01,Completed,0.0025,0
TX0000000050,AC00006851,2024-10-13 03:46:45,Debit,UPI,Fuel,803.38,Completed,0.0312,0
TX0000000051,AC00001328,2026-04-14 13:43:03,Debit,UPI,Fuel,4600.87,Completed,0.3909,0
TX0000000052,AC00005168,2024-11-27 02:03:18,Debit,Internet Banking,Transfer,3194.86,Completed,0.349,0
TX0000000053,AC00001017,2026-02-25 16:27:21,Debit,UPI,Utilities,1974.45,Completed,0.2396,0
TX0000000054,AC00005802,2024-11-20 17:47:21,Credit,POS,E-commerce,4063.94,Completed,0.0231,0
TX0000000055,AC00000596,2025-07-30 09:17:13,Debit,UPI,Education,1383.91,Completed,0.194,0
TX0000000056,AC00005446,2025-03-25 21:28:07,Debit,UPI,Education,6296.22,Completed,0.0673,0
TX0000000057,AC00004988,2026-08-17 02:56:57,Debit,POS,Healthcare,3392.4,Completed,0.0065,0
TX0000000058,AC00000929,2026-01-17 12:37:16,Credit,Mobile Banking,Transfer,4694.55,Completed,0.2563,0
TX0000000059,AC00003009,2025-10-19 13:50:17,Credit,Internet Banking,Utilities,21858.84,Completed,0.0782,0
TX0000000060,AC00000473,2026-01-02 08:33:08,Debit,UPI,Transfer,498.65,Completed,0.1436,0
TX0000000061,AC00004626,2026-04-21 18:25:23,Credit,POS,Fuel,13749.99,Completed,0.2088,0
TX0000000062,AC00002583,2026-03-10 06:00:33,Debit,POS,Fuel,4118.69,Completed,0.0218,0
TX0000000063,AC00005576,2025-03-31 09:41:02,Debit,UPI,Grocery,549.76,Completed,0.0655,0
TX0000000064,AC00000503,2025-02-09 12:39:50,Debit,UPI,E-commerce,4970.21,Completed,0.0022,0
TX0000000065,AC00005951,2025-07-09 16:06:28,Debit,UPI,Fuel,14205.64,Completed,0.0575,0
TX0000000066,AC00002234,2026-02-11 02:02:27,Debit,POS,Transfer,1048.48,Completed,0.0861,0
TX0000000067,AC00005839,2026-05-31 21:10:39,Credit,UPI,Travel,2259.79,Completed,0.1704,0
TX0000000068,AC00001759,2025-09-15 13:44:47,Debit,POS,Utilities,4346.17,Failed,0.0024,0
TX0000000069,AC00004576,2026-05-17 07:42:35,Credit,Branch,Transfer,24211.47,Completed,0.0428,0
TX0000000070,AC00005973,2025-01-25 14:13:12,Debit,POS,Healthcare,1381.74,Completed,0.054,0
TX0000000071,AC00005503,2024-09-15 23:31:39,Credit,UPI,Fuel,1658.96,Completed,0.1415,0
TX0000000072,AC00000310,2025-11-14 03:35:47,Debit,UPI,Education,2405.64,Completed,0.1008,0
TX0000000073,AC00003668,2026-05-31 00:39:46,Credit,Mobile Banking,Travel,3235.25,Completed,0.0213,0
TX0000000074,AC00001255,2025-10-25 19:24:23,Debit,UPI,Utilities,42762.07,Completed,0.1174,0
TX0000000075,AC00002481,2024-11-10 11:13:12,Debit,UPI,E-commerce,1126.32,Completed,0.4135,0
TX0000000076,AC00005137,2026-01-27 18:00:39,Debit,Mobile Banking,Fuel,1754.1,Completed,0.1975,0
TX0000000077,AC00002389,2025-10-05 19:03:39,Debit,POS,Travel,1155.87,Completed,0.1981,0
TX0000000078,AC00002189,2025-09-14 16:30:47,Credit,Mobile Banking,Fuel,15956.01,Completed,0.0372,0
TX0000000079,AC00001959,2026-07-05 19:58:21,Debit,ATM,Travel,4963.56,Completed,0.0897,0
TX0000000080,AC00006077,2025-09-29 21:57:24,Credit,POS,E-commerce,2070.5,Completed,0.0901,0
TX0000000081,AC00000038,2025-12-21 19:31:58,Debit,POS,E-commerce,946.46,Completed,0.0534,0
TX0000000082,AC00003960,2024-12-15 15:29:28,Debit,Mobile Banking,Education,5772.41,Completed,0.0371,0
TX0000000083,AC00005154,2024-10-05 14:29:06,Credit,UPI,Education,3982.51,Completed,0.1826,0
TX0000000084,AC00003059,2026-07-10 18:53:09,Debit,Internet Banking,Transfer,13970.64,Completed,0.0087,0
TX0000000085,AC00006523,2025-12-08 21:37:28,Debit,POS,Fuel,8027.93,Completed,0.0571,0
TX0000000086,AC00003354,2024-12-14 16:57:38,Credit,ATM,Transfer,3889.99,Completed,0.1122,0
TX0000000087,AC00003010,2026-02-10 03:05:40,Credit,Mobile Banking,E-commerce,3534.16,Completed,0.1598,0
TX0000000088,AC00006583,2025-03-19 09:05:18,Credit,Internet Banking,Grocery,772.08,Completed,0.0581,0
TX0000000089,AC00003838,2026-04-26 11:51:15,Debit,POS,Fuel,12979.71,Completed,0.0683,0
TX0000000090,AC00005277,2025-10-02 07:43:37,Debit,Mobile Banking,Transfer,2226.75,Completed,0.4576,0
TX0000000091,AC00000515,2024-10-10 23:38:53,Debit,UPI,Travel,12089.98,Completed,0.0146,0
TX0000000092,AC00006817,2024-11-10 02:27:50,Credit,Mobile Banking,Fuel,18917.08,Completed,0.0968,0
TX0000000093,AC00002109,2026-04-14 21:05:53,Credit,Branch,Transfer,472.68,Completed,0.0319,0
TX0000000094,AC00000245,2026-04-26 18:38:47,Debit,POS,E-commerce,1577.83,Completed,0.0089,0
TX0000000095,AC00006250,2025-08-14 09:19:53,Debit,POS,Healthcare,14106.34,Completed,0.0148,0
TX0000000096,AC00003901,2025-07-17 06:44:45,Credit,Internet Banking,E-commerce,1550.77,Completed,0.03,0
TX0000000097,AC00001449,2026-02-01 00:55:57,Debit,UPI,Grocery,8379.06,Completed,0.0643,0
TX0000000098,AC00002965,2024-10-17 02:45:18,Credit,UPI,Education,2192.74,Completed,0.0015,0
TX0000000099,AC00001540,2025-02-12 15:18:08,Debit,UPI,E-commerce,921.72,Completed,0.4195,0
TX0000000100,AC00000665,2024-10-11 08:53:43,Credit,UPI,Transfer,3089.41,Completed,0.0002,0
TX0000000101,AC00003886,2025-12-23 07:49:58,Debit,UPI,Healthcare,1695.03,Completed,0.0152,0
TX0000000102,AC00001279,2025-12-16 17:55:00,Debit,UPI,Transfer,22235.79,Completed,0.3122,0
TX0000000103,AC00004606,2024-09-24 07:41:35,Debit,POS,Transfer,539.94,Completed,0.0013,0
TX0000000104,AC00005527,2025-12-16 20:55:23,Credit,POS,Transfer,5486.48,Completed,0.155,0
TX0000000105,AC00004358,2026-08-12 09:59:11,Debit,POS,Travel,235.49,Completed,0.1087,0
TX0000000106,AC00003835,2025-09-02 12:44:19,Credit,Mobile Banking,Utilities,378.98,Completed,0.0478,0
TX0000000107,AC00002682,2026-06-10 20:42:04,Credit,POS,Travel,2934.68,Completed,0.104,0
TX0000000108,AC00001754,2026-03-26 05:17:18,Debit,Branch,Education,1031.64,Completed,0.0143,0
TX0000000109,AC00005064,2026-08-11 18:49:15,Credit,UPI,Fuel,2274.78,Completed,0.0397,0
TX0000000110,AC00002278,2026-02-24 09:37:31,Debit,Internet Banking,Travel,1028.83,Completed,0.012,0
TX0000000111,AC00005883,2025-05-23 12:23:44,Credit,UPI,Healthcare,1801.99,Completed,0.0103,0
TX0000000112,AC00001834,2025-09-11 00:23:15,Credit,UPI,Utilities,2355.84,Completed,0.0264,0
TX0000000113,AC00000558,2025-08-30 20:53:17,Debit,UPI,E-commerce,6283.57,Reversed,0.3222,0
TX0000000114,AC00006169,2025-04-13 06:48:41,Credit,UPI,Grocery,4847.21,Completed,0.3914,0
TX0000000115,AC00003713,2025-07-08 16:31:50,Debit,POS,Utilities,3663.72,Completed,0.1263,0
TX0000000116,AC00001132,2024-09-14 12:48:13,Debit,Mobile Banking,Travel,3597.35,Completed,0.074,0
TX0000000117,AC00001607,2026-04-15 16:12:29,Credit,Mobile Banking,Fuel,445.93,Completed,0.0325,0
TX0000000118,AC00005835,2025-04-04 04:54:51,Credit,Mobile Banking,Utilities,2137.86,Completed,0.0286,0
TX0000000119,AC00004521,2026-01-17 20:31:19,Credit,POS,E-commerce,1298.46,Completed,0.0008,0
TX0000000120,AC00000422,2024-09-22 02:16:25,Debit,POS,Healthcare,1029.26,Completed,0.0416,0
TX0000000121,AC00000118,2026-01-15 01:30:54,Debit,POS,Fuel,4260.28,Completed,0.0289,0
TX0000000122,AC00000426,2025-12-22 20:13:34,Debit,Mobile Banking,Healthcare,2883.24,Completed,0.083,0
TX0000000123,AC00000894,2026-04-12 01:57:40,Credit,Mobile Banking,E-commerce,496.47,Completed,0.2305,0
TX0000000124,AC00001486,2024-11-24 00:39:22,Credit,POS,Education,3655.07,Completed,0.0189,0
TX0000000125,AC00001362,2025-07-27 21:19:39,Credit,Mobile Banking,Utilities,1307.73,Completed,0.2431,0
TX0000000126,AC00002872,2026-02-12 21:03:22,Credit,Branch,Grocery,880.88,Completed,0.0367,0
TX0000000127,AC00000696,2025-10-10 22:50:53,Debit,Internet Banking,Healthcare,3778.91,Completed,0.0252,0
TX0000000128,AC00005441,2025-05-15 13:01:40,Debit,POS,Travel,364.05,Completed,0.0945,0
TX0000000129,AC00003427,2026-03-08 02:51:09,Credit,UPI,Transfer,8675.1,Completed,0.0055,0
TX0000000130,AC00004791,2025-03-19 13:48:52,Credit,POS,Utilities,392.46,Completed,0.1871,0
TX0000000131,AC00002619,2026-01-23 21:38:54,Debit,UPI,Education,1524.8,Completed,0.1526,0
TX0000000132,AC00005852,2024-11-02 01:09:13,Credit,POS,Fuel,9667.94,Completed,0.0204,0
TX0000000133,AC00005730,2026-07-06 21:31:59,Credit,POS,Education,101.32,Completed,0.1013,0
TX0000000134,AC00004781,2025-03-08 03:11:26,Credit,UPI,E-commerce,2453.82,Completed,0.1422,0
TX0000000135,AC00006021,2025-08-13 10:38:40,Debit,UPI,Transfer,9153.24,Completed,0.1302,0
TX0000000136,AC00004722,2024-10-05 23:16:15,Debit,POS,Grocery,923.96,Completed,0.2056,0
TX0000000137,AC00005723,2026-04-22 05:15:11,Debit,UPI,Healthcare,262.96,Completed,0.0147,0
TX0000000138,AC00001178,2024-11-30 01:59:22,Debit,Mobile Banking,Education,4595.3,Completed,0.006,0
TX0000000139,AC00001820,2026-03-08 18:22:20,Credit,Mobile Banking,Transfer,510.22,Completed,0.0261,0
TX0000000140,AC00004322,2025-01-11 19:18:21,Debit,Mobile Banking,Travel,1648.01,Completed,0.0794,0
TX0000000141,AC00005243,2025-10-27 10:19:05,Debit,UPI,Healthcare,4918.77,Completed,0.1763,0
TX0000000142,AC00006045,2024-12-19 17:43:22,Credit,UPI,Utilities,2407.1,Completed,0.2184,0
TX0000000143,AC00004341,2026-08-13 20:59:58,Debit,UPI,Transfer,3483.27,Completed,0.028,0
TX0000000144,AC00004397,2025-09-26 11:43:18,Credit,Mobile Banking,Fuel,1920.72,Completed,0.2792,0
TX0000000145,AC00004063,2026-06-02 10:58:15,Credit,UPI,Fuel,910.09,Completed,0.019,0
TX0000000146,AC00003324,2026-08-08 09:37:00,Credit,ATM,E-commerce,1080.97,Completed,0.0927,0
TX0000000147,AC00006241,2025-09-30 11:50:56,Credit,UPI,Travel,6387.86,Completed,0.023,0
TX0000000148,AC00000018,2025-07-16 02:57:03,Credit,Internet Banking,Travel,3146.33,Completed,0.0323,0
TX0000000149,AC00001526,2024-09-29 08:10:29,Debit,POS,E-commerce,1266.05,Completed,0.1991,0
TX0000000150,AC00004013,2025-12-06 16:15:16,Debit,UPI,Healthcare,687.8,Completed,0.107,0
TX0000000151,AC00005616,2025-11-21 16:49:51,Credit,Mobile Banking,Grocery,1455.69,Completed,0.1147,0
TX0000000152,AC00003561,2024-10-18 08:36:16,Credit,Mobile Banking,Grocery,994.63,Completed,0.0454,0
TX0000000153,AC00004192,2026-02-12 15:55:39,Debit,UPI,Education,790.65,Completed,0.1282,0
TX0000000154,AC00002253,2026-08-19 07:43:53,Debit,POS,Transfer,910.49,Completed,0.2708,0
TX0000000155,AC00000049,2025-07-14 02:36:47,Debit,UPI,Healthcare,10757.53,Completed,0.0584,0
TX0000000156,AC00002835,2025-02-09 23:24:29,Debit,Internet Banking,E-commerce,692.28,Completed,0.0243,0
TX0000000157,AC00000243,2026-08-23 06:48:06,Credit,UPI,Grocery,1947.92,Completed,0.0921,0
TX0000000158,AC00002669,2026-04-07 19:42:18,Credit,Mobile Banking,Utilities,235.0,Completed,0.0837,0
TX0000000159,AC00004132,2025-04-25 21:07:39,Debit,UPI,Transfer,604.27,Completed,0.0382,0
TX0000000160,AC00000695,2026-05-17 03:25:27,Credit,ATM,Fuel,4780.95,Completed,0.0466,0
TX0000000161,AC00006493,2025-08-08 12:38:24,Credit,ATM,Grocery,6717.48,Completed,0.3436,0
TX0000000162,AC00002692,2025-08-05 06:06:20,Credit,Internet Banking,E-commerce,1137.73,Completed,0.0004,0
TX0000000163,AC00003792,2025-12-06 07:31:35,Debit,Internet Banking,Healthcare,7796.0,Completed,0.0118,0
TX0000000164,AC00000810,2026-03-24 04:00:55,Debit,ATM,Healthcare,4799.21,Completed,0.1542,0
TX0000000165,AC00002310,2026-01-25 13:53:13,Credit,UPI,Travel,13066.68,Completed,0.1432,0
TX0000000166,AC00003650,2025-11-09 07:31:45,Debit,UPI,Healthcare,1306.86,Completed,0.078,0
TX0000000167,AC00003276,2024-12-01 12:44:10,Credit,ATM,Healthcare,16319.21,Completed,0.0489,0
TX0000000168,AC00005365,2025-07-29 17:18:19,Debit,ATM,Education,966.83,Completed,0.0453,0
TX0000000169,AC00001698,2026-05-10 13:36:42,Credit,POS,Healthcare,2956.4,Completed,0.0144,0
TX0000000170,AC00001562,2026-04-02 02:56:35,Debit,Mobile Banking,Fuel,2045.22,Completed,0.0576,0
TX0000000171,AC00005599,2024-12-28 22:39:07,Debit,Mobile Banking,Utilities,7184.56,Completed,0.01,0
TX0000000172,AC00001347,2024-10-25 18:47:10,Debit,POS,Transfer,2187.58,Completed,0.1373,0
TX0000000173,AC00004947,2026-07-07 20:59:51,Debit,Mobile Banking,Transfer,6837.41,Completed,0.1028,0
TX0000000174,AC00000531,2025-08-05 17:48:51,Debit,UPI,Healthcare,4659.64,Completed,0.0434,0
TX0000000175,AC00003067,2026-03-25 00:02:40,Credit,Branch,E-commerce,571.38,Completed,0.0582,0
TX0000000176,AC00000456,2025-10-24 17:11:06,Credit,UPI,Grocery,2852.79,Completed,0.0276,0
TX0000000177,AC00006248,2025-10-25 11:44:18,Debit,POS,Education,5113.12,Failed,0.0589,0
TX0000000178,AC00001362,2025-06-28 11:07:27,Debit,Mobile Banking,Fuel,1024.46,Completed,0.1042,0
TX0000000179,AC00003018,2025-11-12 01:27:35,Credit,UPI,Grocery,2024.29,Completed,0.3026,0
TX0000000180,AC00000186,2026-06-01 13:58:06,Credit,POS,Travel,3589.77,Completed,0.0045,0
TX0000000181,AC00004353,2025-10-22 22:10:18,Debit,UPI,Travel,1930.76,Completed,0.1045,0
TX0000000182,AC00004518,2026-06-15 19:06:42,Debit,Branch,Travel,591.67,Completed,0.0363,0
TX0000000183,AC00004001,2026-03-19 09:05:46,Debit,POS,Travel,2779.81,Completed,0.0525,0
TX0000000184,AC00004613,2026-05-09 23:06:52,Debit,POS,E-commerce,446.5,Completed,0.0352,0
TX0000000185,AC00006167,2025-06-14 03:14:34,Credit,ATM,Education,2191.08,Completed,0.2037,0
TX0000000186,AC00005066,2025-05-05 15:49:34,Debit,UPI,Education,16883.05,Completed,0.0624,0
TX0000000187,AC00001543,2026-07-12 06:48:55,Credit,UPI,Education,1274.2,Completed,0.083,0
TX0000000188,AC00003454,2024-10-16 08:11:39,Credit,UPI,Grocery,31612.22,Completed,0.035,0
TX0000000189,AC00004225,2025-11-24 11:53:16,Debit,UPI,Fuel,2369.47,Completed,0.2061,0
TX0000000190,AC00001913,2026-01-23 19:28:30,Credit,Mobile Banking,Education,151815.38,Completed,0.3055,0
TX0000000191,AC00006621,2025-05-26 09:53:55,Debit,UPI,E-commerce,1973.16,Completed,0.1726,0
TX0000000192,AC00006510,2025-08-27 14:12:33,Debit,POS,Travel,5565.82,Completed,0.0973,0
TX0000000193,AC00001555,2025-01-12 19:24:02,Debit,Mobile Banking,E-commerce,3608.15,Completed,0.014,0
TX0000000194,AC00000087,2025-01-03 13:17:54,Credit,Mobile Banking,Healthcare,311.93,Completed,0.1236,0
TX0000000195,AC00004405,2025-04-22 07:19:47,Debit,UPI,Travel,210.27,Completed,0.0501,0
TX0000000196,AC00003976,2025-12-17 04:22:32,Credit,POS,Grocery,427.99,Completed,0.2758,0
TX0000000197,AC00003565,2025-07-19 11:03:44,Debit,Mobile Banking,Transfer,15044.19,Completed,0.1538,0
TX0000000198,AC00004315,2025-10-28 15:04:08,Debit,UPI,Travel,3417.97,Completed,0.0139,0
TX0000000199,AC00005712,2026-01-26 07:42:46,Debit,Internet Banking,E-commerce,1054.64,Completed,0.069,0
TX0000000200,AC00000744,2025-11-30 18:44:31,Credit,Branch,Fuel,1606.35,Completed,0.0882,0
TX0000000201,AC00003209,2025-10-26 06:22:16,Debit,ATM,Transfer,141.5,Completed,0.0406,0
TX0000000202,AC00003408,2026-08-06 20:40:21,Debit,UPI,Transfer,5372.17,Completed,0.1056,0
TX0000000203,AC00003090,2024-10-06 17:16:30,Credit,POS,Transfer,185.6,Completed,0.0381,0
TX0000000204,AC00006657,2024-10-13 20:28:27,Debit,POS,Healthcare,2378.2,Completed,0.1461,0
TX0000000205,AC00001452,2026-01-31 06:05:47,Debit,UPI,Utilities,24488.7,Completed,0.2455,0
TX0000000206,AC00000163,2025-08-15 06:47:11,Credit,Branch,Utilities,1934.3,Completed,0.0447,0
TX0000000207,AC00002971,2024-12-14 17:02:36,Debit,Mobile Banking,Travel,228.53,Completed,0.0046,0
TX0000000208,AC00003507,2026-07-26 05:03:33,Credit,Internet Banking,Fuel,4763.79,Completed,0.2419,0
TX0000000209,AC00001825,2026-03-11 21:47:02,Credit,UPI,Healthcare,2255.71,Completed,0.3399,0
TX0000000210,AC00006340,2025-10-09 12:22:45,Debit,UPI,Grocery,1991.76,Completed,0.041,0
TX0000000211,AC00006051,2024-10-19 01:20:31,Credit,UPI,Utilities,4478.75,Completed,0.1736,0
TX0000000212,AC00006751,2024-12-06 20:39:08,Credit,POS,Travel,389.36,Completed,0.0153,0
TX0000000213,AC00003410,2025-08-29 15:26:42,Debit,UPI,Travel,538.05,Completed,0.0603,0
TX0000000214,AC00003152,2025-08-31 08:49:28,Debit,UPI,Healthcare,4457.9,Completed,0.1781,0
TX0000000215,AC00006055,2026-05-23 07:59:45,Debit,ATM,Healthcare,55143.89,Completed,0.0366,0
TX0000000216,AC00004607,2025-01-01 20:19:13,Credit,ATM,Transfer,7183.24,Completed,0.1352,0
TX0000000217,AC00004116,2024-09-18 13:11:35,Debit,Mobile Banking,Education,1774.37,Completed,0.1346,0
TX0000000218,AC00004598,2024-10-16 14:45:59,Debit,Internet Banking,Travel,3814.23,Completed,0.1606,0
TX0000000219,AC00003356,2026-04-14 14:58:23,Credit,Branch,Education,2857.41,Completed,0.1142,0
TX0000000220,AC00005351,2024-11-01 20:31:01,Debit,UPI,Grocery,9983.31,Completed,0.023,0
TX0000000221,AC00001061,2025-05-25 23:15:55,Debit,Branch,E-commerce,21758.21,Reversed,0.0016,0
TX0000000222,AC00002365,2025-10-28 22:00:47,Debit,Internet Banking,Travel,543.01,Completed,0.2715,0
TX0000000223,AC00000315,2025-11-09 00:10:59,Credit,ATM,E-commerce,701.38,Completed,0.0532,0
TX0000000224,AC00006704,2025-05-05 05:16:00,Debit,UPI,Travel,17045.97,Completed,0.0077,0
TX0000000225,AC00002366,2026-01-12 12:08:43,Credit,Mobile Banking,Fuel,7221.69,Completed,0.0663,0
TX0000000226,AC00004765,2025-11-11 06:58:38,Debit,UPI,Education,44896.02,Completed,0.0202,0
TX0000000227,AC00006401,2026-01-11 03:58:29,Credit,Branch,Fuel,920.37,Completed,0.3585,0
TX0000000228,AC00006792,2026-02-19 02:51:41,Credit,POS,E-commerce,8090.01,Completed,0.0987,0
TX0000000229,AC00005317,2026-03-11 04:16:26,Debit,Internet Banking,Transfer,4107.79,Completed,0.119,0
TX0000000230,AC00004711,2024-12-05 17:23:01,Credit,POS,E-commerce,13104.09,Completed,0.0038,0
TX0000000231,AC00004781,2025-06-15 03:14:45,Debit,Internet Banking,E-commerce,955.28,Completed,0.0886,0
TX0000000232,AC00005503,2025-02-10 04:27:31,Debit,UPI,Travel,22269.93,Completed,0.0175,0
TX0000000233,AC00006017,2026-06-30 20:16:54,Debit,POS,Utilities,2408.01,Completed,0.0205,0
TX0000000234,AC00006610,2026-01-05 04:30:26,Debit,UPI,E-commerce,11355.71,Completed,0.0154,0
TX0000000235,AC00003410,2025-07-28 16:16:42,Debit,POS,Education,5142.96,Completed,0.2212,0
TX0000000236,AC00004051,2025-11-01 14:46:20,Credit,POS,Transfer,1378.99,Completed,0.0953,0
TX0000000237,AC00000263,2026-06-19 12:15:00,Debit,Branch,Utilities,923.88,Completed,0.035,0
TX0000000238,AC00002239,2026-01-09 06:06:31,Credit,POS,Grocery,13119.56,Completed,0.0038,0
TX0000000239,AC00005720,2026-03-02 03:11:44,Debit,Internet Banking,Transfer,4377.14,Completed,0.0082,0
TX0000000240,AC00006146,2026-05-21 08:55:50,Credit,POS,Fuel,3233.81,Completed,0.0085,0
TX0000000241,AC00006165,2025-04-17 15:00:30,Debit,ATM,E-commerce,1786.72,Completed,0.0481,0
TX0000000242,AC00000227,2024-11-18 01:01:29,Debit,ATM,Utilities,17543.52,Completed,0.1514,0
TX0000000243,AC00005007,2025-09-01 08:13:38,Debit,Mobile Banking,Travel,3346.24,Completed,0.0914,0
TX0000000244,AC00006769,2025-05-31 02:43:07,Debit,ATM,Grocery,1492.5,Failed,0.0308,0
TX0000000245,AC00004497,2025-12-11 20:14:09,Debit,Branch,Utilities,23515.65,Completed,0.1059,0
TX0000000246,AC00006007,2024-09-30 05:11:59,Credit,Internet Banking,Utilities,2093.31,Failed,0.0957,0
TX0000000247,AC00004579,2025-11-16 10:17:21,Credit,ATM,Fuel,1532.33,Completed,0.0872,0
TX0000000248,AC00003544,2026-03-23 09:43:54,Debit,ATM,Travel,2428.31,Completed,0.1267,0
TX0000000249,AC00004502,2026-08-11 15:57:42,Credit,POS,Travel,2308.66,Completed,0.001,0
TX0000000250,AC00000424,2026-04-21 21:17:41,Credit,POS,Fuel,10757.23,Completed,0.0117,0
TX0000000251,AC00001566,2025-09-28 18:36:30,Credit,POS,Transfer,288.4,Completed,0.0128,0
