card_id,customer_id,card_type,credit_limit,current_outstanding,status
CD00000069,CU00003122,Classic,50000,25919.62,Active
CD00000070,CU00001584,Classic,350000,3577.45,Active
CD00000071,CU00003445,Platinum,350000,7900.44,Active
CD00000072,CU00000236,Gold,500000,29098.84,Active
CD00000073,CU00001008,Gold,350000,7166.55,Active
CD00000074,CU00000455,Platinum,100000,45379.02,Active
CD00000075,CU00003763,Gold,100000,51695.04,Active
CD00000076,CU00004700,Gold,350000,35452.48,Active
CD00000077,CU00002859,Gold,200000,10997.1,Active
CD00000078,CU00000137,Gold,50000,10636.78,Active
CD00000079,CU00003515,Platinum,50000,26775.93,Active
CD00000080,CU00002677,Gold,50000,2065.66,Active
CD00000081,CU00002261,Classic,200000,5473.01,Active
CD00000082,CU00002368,Gold,200000,979.93,Active
CD00000083,CU00004197,Platinum,350000,28778.18,Active
CD00000084,CU00003291,Platinum,100000,174838.42,Active
CD00000085,CU00003254,Business,50000,8177.87,Active
CD00000086,CU00000510,Platinum,500000,4620.03,Active
CD00000087,CU00004122,Gold,200000,40508.89,Active
CD00000088,CU00002242,Platinum,50000,2575.39,Active
CD00000089,CU00003070,Classic,100000,7988.05,Active
CD00000090,CU00000014,Gold,350000,5393.08,Active
CD00000091,CU00003010,Gold,100000,74166.71,Active
CD00000092,CU00003762,Classic,50000,6724.18,Active
CD00000093,CU00001666,Platinum,500000,20594.17,Active
CD00000094,CU00002287,Platinum,50000,10104.89,Active
CD00000095,CU00001686,Classic,500000,20234.34,Active
CD00000096,CU00000650,Classic,200000,19578.69,Active
CD00000097,CU00001444,Platinum,200000,51878.61,Active
CD00000098,CU00003628,Platinum,50000,8861.72,Active
CD00000099,CU00001744,Platinum,350000,30870.44,Active
CD00000100,CU00003331,Classic,100000,4233.89,Active
CD00000101,CU00003036,Classic,200000,7140.54,Active
CD00000102,CU00004900,Business,200000,9412.09,Active
CD00000103,CU00004440,Classic,200000,2584.38,Active
CD00000104,CU00003129,Classic,350000,2954.98,Active
CD00000105,CU00004712,Classic,500000,7011.26,Active
CD00000106,CU00002926,Platinum,200000,35839.53,Active
CD00000107,CU00000045,Classic,50000,16774.75,Active
CD00000108,CU00003981,Platinum,500000,28527.74,Active
CD00000109,CU00000193,Classic,500000,8175.22,Active
CD00000110,CU00001239,Classic,500000,36257.18,Active
CD00000111,CU00002192,Platinum,50000,21577.77,Active
CD00000112,CU00002970,Business,350000,11987.63,Active
CD00000113,CU00000396,Platinum,200000,12591.03,Active
CD00000114,CU00001230,Classic,500000,4331.69,Active
CD00000115,CU00004012,Business,50000,29270.28,Active
CD00000116,CU00000231,Classic,350000,2273.03,Active
CD00000117,CU00004117,Classic,500000,30519.7,Active
CD00000118,CU00003405,Platinum,350000,7367.67,Active
CD00000119,CU00003534,Classic,100000,2243.13,Active
CD00000120,CU00001861,Platinum,350000,21002.23,Active
CD00000121,CU00002130,Platinum,500000,5211.53,Blocked
CD00000122,CU00003961,Classic,100000,69862.96,Active
CD00000123,CU00004027,Gold,500000,5250.46,Active
CD00000124,CU00002137,Classic,50000,6883.59,Active
CD00000125,CU00000566,Platinum,50000,12241.03,Active
CD00000126,CU00002718,Platinum,50000,24419.13,Active
CD00000127,CU00003192,Gold,350000,11350.41,Active
CD00000128,CU00002766,Business,500000,9641.87,Active
CD00000129,CU00000034,Gold,200000,2182.38,Active
CD00000130,CU00002312,Gold,50000,19741.84,Active
CD00000131,CU00002254,Platinum,100000,2158.74,Active
CD00000132,CU00002342,Gold,500000,3437.35,Active
CD00000133,CU00004439,Gold,350000,19170.91,Active
CD00000134,CU00004869,Classic,50000,8796.38,Active
CD00000135,CU00004594,Classic,350000,6379.55,Active
CD00000136,CU00001942,Gold,200000,5853.1,Active
CD00000137,CU00001081,Classic,500000,1922.98,Active
CD00000138,CU00000994,Platinum,50000,5305.58,Active
CD00000139,CU00004464,Gold,200000,2560.19,Active
CD00000140,CU00000639,Platinum,100000,58252.71,Active
CD00000141,CU00000637,Classic,50000,6989.73,Active
CD00000142,CU00003993,Classic,350000,5228.46,Active
CD00000143,CU00002135,Business,200000,21721.81,Active
CD00000144,CU00003457,Business,350000,11804.08,Active
CD00000145,CU00001923,Gold,350000,2810.75,Active
CD00000146,CU00000050,Gold,50000,11481.77,Active
CD00000147,CU00001413,Classic,500000,11980.58,Active
CD00000148,CU00001783,Platinum,50000,14498.56,Active
CD00000149,CU00001513,Platinum,100000,5573.25,Active
CD00000150,CU00000458,Platinum,50000,14681.53,Active
CD00000151,CU00000057,Classic,500000,11152.96,Active
CD00000152,CU00002354,Gold,100000,122988.27,Closed
CD00000153,CU00003495,Classic,500000,11775.61,Active
CD00000154,CU00004935,Business,200000,3166.67,Active
CD00000155,CU00000736,Platinum,50000,3345.19,Active
CD00000156,CU00001119,Classic,200000,13959.64,Active
CD00000157,CU00002586,Classic,100000,6124.28,Active
CD00000158,CU00002831,Platinum,200000,51773.5,Active
CD00000159,CU00000432,Gold,500000,36297.2,Active
CD00000160,CU00001322,Gold,100000,802.51,Active
CD00000161,CU00001047,Gold,200000,71842.97,Active
CD00000162,CU00004827,Business,350000,3375.14,Active
CD00000163,CU00003531,Business,50000,39651.19,Active
CD00000164,CU00003555,Classic,200000,6417.89,Active
CD00000165,CU00002636,Platinum,500000,4660.17,Active
CD00000166,CU00003982,Gold,50000,109625.65,Active
CD00000167,CU00003611,Platinum,100000,8799.79,Active
CD00000168,CU00004101,Platinum,500000,3256.89,Active
CD00000169,CU00004925,Classic,500000,5354.82,Active
CD00000170,CU00004445,Classic,500000,2250.61,Active
CD00000171,CU00001843,Classic,50000,11928.48,Active
CD00000172,CU00000344,Classic,350000,6078.8,Closed
CD00000173,CU00003394,Platinum,500000,7630.39,Active
CD00000174,CU00002727,Classic,500000,3108.51,Active
CD00000175,CU00001704,Classic,500000,30000.61,Active
CD00000176,CU00001059,Classic,500000,499.57,Active
CD00000177,CU00001659,Platinum,50000,13097.83,Active
CD00000178,CU00000830,Gold,350000,19359.92,Active
CD00000179,CU00004605,Classic,500000,7737.56,Active
CD00000180,CU00004810,Classic,350000,936.57,Active
CD00000181,CU00003713,Business,200000,21419.33,Active
CD00000182,CU00000363,Classic,500000,21736.28,Active
CD00000183,CU00004311,Classic,100000,2825.72,Active
CD00000184,CU00000470,Gold,200000,5133.82,Active
CD00000185,CU00000017,Business,350000,33048.6,Active
CD00000186,CU00003460,Platinum,350000,14640.43,Active
CD00000187,CU00002941,Gold,50000,68660.8,Closed
CD00000188,CU00004210,Gold,500000,2731.69,Active
CD00000189,CU00003046,Classic,50000,15101.0,Active
CD00000190,CU00001271,Classic,100000,8682.97,Active
CD00000191,CU00003537,Gold,350000,2224.25,Active
CD00000192,CU00004916,Classic,200000,24633.71,Active
CD00000193,CU00001978,Classic,100000,5224.82,Active
CD00000194,CU00000289,Classic,200000,1894.96,Active
CD00000195,CU00000709,Classic,350000,4579.8,Active
CD00000196,CU00004374,Classic,350000,26820.48,Active
CD00000197,CU00000283,Platinum,200000,60075.92,Active
CD00000198,CU00003634,Classic,500000,31728.17,Active
CD00000199,CU00001398,Classic,500000,3925.47,Active
CD00000200,CU00003136,Classic,200000,1669.65,Active
CD00000201,CU00001336,Platinum,350000,3399.54,Blocked
CD00000202,CU00000665,Gold,100000,4405.22,Blocked
CD00000203,CU00002982,Classic,100000,904.79,Active
CD00000204,CU00000664,Gold,50000,16758.03,Active
CD00000205,CU00002481,Classic,500000,30326.63,Active
CD00000206,CU00004488,Gold,500000,5694.35,Active
CD00000207,CU00004678,Gold,500000,15357.18,Active
CD00000208,CU00004744,Classic,100000,3174.38,Active
CD00000209,CU00003509,Classic,50000,29905.34,Active
CD00000210,CU00000479,Gold,500000,1874.41,Active
CD00000211,CU00003402,Classic,100000,2696.32,Active
CD00000212,CU00000651,Classic,500000,1854.85,Blocked
CD00000213,CU00000325,Platinum,100000,9421.88,Active
CD00000214,CU00004400,Platinum,350000,14576.55,Active
CD00000215,CU00004710,Platinum,50000,12528.83,Active
CD00000216,CU00000089,Gold,200000,3970.31,Active
CD00000217,CU00004230,Gold,100000,7816.94,Active
CD00000218,CU00000400,Gold,500000,9504.87,Active
CD00000219,CU00002569,Platinum,500000,6853.12,Active
CD00000220,CU00000598,Business,500000,9098.5,Active
CD00000221,CU00002120,Classic,50000,25353.6,Active
CD00000222,CU00004986,Classic,500000,3441.37,Active
CD00000223,CU00001369,Gold,200000,3602.54,Active
CD00000224,CU00000138,Classic,200000,23847.87,Active
CD00000225,CU00000009,Classic,100000,13114.71,Active
CD00000226,CU00000319,Classic,350000,10075.39,Active
CD00000227,CU00000610,Gold,200000,65327.63,Active
CD00000228,CU00001997,Platinum,100000,26091.56,Active
CD00000229,CU00000758,Classic,200000,3498.27,Active
CD00000230,CU00004703,Gold,50000,38073.3,Active
CD00000231,CU00003648,Classic,100000,2358.96,Active
CD00000232,CU00000763,Platinum,50000,6063.75,Active
CD00000233,CU00001305,Business,50000,2349.22,Active
CD00000234,CU00000711,Classic,500000,1040.14,Active
CD00000235,CU00004967,Classic,200000,1749.1,Active
CD00000236,CU00000607,Platinum,200000,855.5,Blocked
CD00000237,CU00001036,Classic,500000,3959.88,Active
CD00000238,CU00004401,Platinum,50000,3639.55,Active
CD00000239,CU00002762,Classic,200000,10566.64,Active
CD00000240,CU00004353,Platinum,350000,20335.66,Active
CD00000241,CU00004067,Classic,200000,32379.22,Blocked
CD00000242,CU00002311,Classic,200000,29336.42,Active
CD00000243,CU00003492,Gold,100000,6413.44,Active
CD00000244,CU00002187,Business,100000,7718.24,Active
CD00000245,CU00003630,Gold,350000,44941.64,Active
CD00000246,CU00003649,Platinum,350000,7719.56,Active
CD00000247,CU00002979,Platinum,500000,11793.69,Active
CD00000248,CU00003792,Gold,100000,4638.64,Active
CD00000249,CU00003741,Classic,500000,11386.25,Active
CD00000250,CU00002248,Classic,100000,15847.71,Active
CD00000251,CU00002752,Gold,500000,5512.08,Active
CD00000252,CU00000743,Business,100000,7435.24,Active
CD00000253,CU00002556,Gold,50000,21806.62,Active
CD00000254,CU00000948,Gold,50000,29036.42,Active
CD00000255,CU00000226,Gold,200000,37294.82,Active
CD00000256,CU00002761,Gold,200000,13662.82,Active
CD00000257,CU00002758,Classic,50000,8915.73,Active
CD00000258,CU00002272,Platinum,200000,8944.6,Active
CD00000259,CU00004046,Gold,100000,3009.78,Active
CD00000260,CU00001338,Classic,50000,1581.77,Active
CD00000261,CU00004366,Business,50000,21862.68,Active
CD00000262,CU00004854,Gold,50000,4792.73,Active
CD00000263,CU00001302,Gold,50000,4063.2,Active
CD00000264,CU00001400,Classic,500000,33882.13,Closed
CD00000265,CU00002784,Platinum,200000,15054.96,Active
CD00000266,CU00003684,Classic,500000,47592.4,Active
CD00000267,CU00004694,Platinum,100000,12049.47,Active
CD00000268,CU00001107,Business,350000,36851.27,Active
CD00000269,CU00004145,Business,50000,1980.31,Active
CD00000270,CU00002779,Gold,500000,4899.54,Active
CD00000271,CU00004092,Classic,100000,141606.69,Active
CD00000272,CU00000864,Gold,100000,7283.18,Active
CD00000273,CU00002991,Platinum,100000,14125.74,Active
CD00000274,CU00001624,Classic,100000,7790.5,Active
CD00000275,CU00004989,Classic,200000,6866.9,Active
CD00000276,CU00001346,Classic,50000,2585.44,Active
CD00000277,CU00001738,Classic,200000,35749.16,Blocked
CD00000278,CU00001603,Gold,200000,18717.36,Active
CD00000279,CU00000543,Classic,350000,4572.46,Active
CD00000280,CU00001841,Classic,100000,4443.97,Active
CD00000281,CU00003085,Platinum,50000,13549.0,Active
CD00000282,CU00000188,Classic,350000,2416.79,Active
CD00000283,CU00000777,Gold,50000,12248.14,Active
CD00000284,CU00000552,Gold,50000,10561.02,Active
CD00000285,CU00002453,Gold,50000,10436.4,Active
CD00000286,CU00002838,Platinum,500000,6155.04,Active
CD00000287,CU00003298,Classic,200000,2567.67,Active
CD00000288,CU00000096,Classic,500000,8073.34,Active
CD00000289,CU00002951,Classic,100000,960.54,Active
CD00000290,CU00001225,Classic,100000,835.69,Active
CD00000291,CU00004563,Classic,50000,3691.63,Active
CD00000292,CU00004174,Classic,50000,20572.09,Active
CD00000293,CU00000961,Classic,50000,5481.6,Active
CD00000294,CU00004891,Classic,350000,55715.45,Active
CD00000295,CU00002297,Classic,100000,11789.77,Blocked
CD00000296,CU00004802,Classic,100000,2873.41,Active
CD00000297,CU00001282,Classic,100000,6778.39,Active
CD00000298,CU00002835,Classic,350000,10722.91,Active
CD00000299,CU00002828,Platinum,500000,8379.71,Active
CD00000300,CU00001682,Gold,50000,6707.68,Active
CD00000301,CU00002346,Gold,350000,8284.27,Active
CD00000302,CU00001294,Gold,500000,9413.31,Active
CD00000303,CU00003825,Platinum,350000,9596.99,Active
CD00000304,CU00002082,Gold,200000,4531.98,Active
CD00000305,CU00001073,Classic,200000,6840.74,Active
CD00000306,CU00000492,Platinum,500000,18208.82,Active
CD00000307,CU00002565,Platinum,500000,6578.83,Active
CD00000308,CU00002855,Gold,350000,3345.64,Closed
CD00000309,CU00000938,Classic,350000,11216.31,Active
CD00000310,CU00000036,Classic,200000,28000.64,Active
CD00000311,CU00000677,Classic,200000,22335.95,Active
CD00000312,CU00004843,Classic,50000,5513.55,Active
CD00000313,CU00004670,Gold,100000,2442.85,Active
CD00000314,CU00001083,Business,50000,20696.47,Active
CD00000315,CU00003544,Gold,500000,10209.96,Active
CD00000316,CU00004685,Classic,50000,4202.07,Active
CD00000317,CU00003728,Platinum,50000,27391.96,Active
CD00000318,CU00000323,Gold,350000,11616.48,Active
CD00000319,CU00000445,Platinum,50000,20866.41,Active
CD00000320,CU00004512,Platinum,500000,10428.34,Active
CD00000321,CU00003032,Platinum,350000,6901.73,Active
CD00000322,CU00002826,Gold,200000,25225.13,Active
CD00000323,CU00001966,Platinum,100000,11870.45,Active
CD00000324,CU00000314,Classic,200000,19166.89,Active
CD00000325,CU00001252,Classic,350000,24045.75,Active
CD00000326,CU00002553,Classic,200000,33628.74,Active
CD00000327,CU00000208,Gold,350000,6937.19,Active
CD00000328,CU00001534,Platinum,50000,4071.9,Active
CD00000329,CU00001438,Business,500000,14745.42,Active
CD00000330,CU00000714,Business,50000,16066.01,Active
CD00000331,CU00002385,Classic,50000,53829.37,Active
CD00000332,CU00001937,Business,50000,2200.54,Active
CD00000333,CU00002749,Platinum,100000,1638.45,Active
CD00000334,CU00001432,Classic,100000,18849.14,Active
CD00000335,CU00002474,Gold,100000,8386.89,Active
CD00000336,CU00002413,Gold,200000,5891.29,Active
CD00000337,CU00003808,Classic,500000,6257.65,Active
CD00000338,CU00001754,Gold,200000,12012.52,Active
CD00000339,CU00000747,Classic,350000,7779.07,Active
CD00000340,CU00003340,Gold,350000,5642.1,Active
CD00000341,CU00004100,Classic,200000,3755.51,Active
CD00000342,CU00003525,Platinum,500000,11323.0,Active
CD00000343,CU00004689,Classic,500000,8455.63,Active
CD00000344,CU00003444,Gold,200000,6427.06,Active
CD00000345,CU00000490,Classic,50000,4576.92,Active
CD00000346,CU00002989,Platinum,500000,15185.78,Active
CD00000347,CU00000722,Gold,200000,23339.36,Active
CD00000348,CU00000386,Gold,50000,9040.09,Active
CD00000349,CU00002070,Platinum,200000,15631.37,Closed
CD00000350,CU00001026,Classic,350000,11479.71,Active
CD00000351,CU00001509,Gold,100000,22228.63,Active
CD00000352,CU00001683,Classic,50000,22761.87,Active
CD00000353,CU00001964,Platinum,350000,341.07,Active
CD00000354,CU00000260,Gold,50000,23714.54,Active
CD00000355,CU00000205,Gold,200000,13149.14,Active
CD00000356,CU00000302,Classic,200000,1177.17,Active
CD00000357,CU00003337,Classic,350000,91492.71,Active
CD00000358,CU00000402,Platinum,100000,4760.72,Active
CD00000359,CU00003524,Classic,50000,61010.14,Active
CD00000360,CU00001949,Platinum,500000,14301.82,Active
CD00000361,CU00000813,Platinum,500000,25887.08,Blocked
CD00000362,CU00004189,Classic,350000,14377.74,Active
CD00000363,CU00001174,Gold,200000,20199.98,Active
CD00000364,CU00004545,Platinum,100000,7202.1,Active
CD00000365,CU00000300,Platinum,200000,50444.54,Active
CD00000366,CU00000626,Gold,200000,5500.65,Active
CD00000367,CU00002839,Classic,350000,3711.12,Active
CD00000368,CU00004507,Gold,200000,12467.34,Active
CD00000369,CU00004088,Classic,500000,3005.5,Closed
CD00000370,CU00001511,Gold,500000,9930.84,Active
CD00000371,CU00001630,Platinum,500000,7643.04,Active
CD00000372,CU00002567,Classic,100000,11949.71,Active
CD00000373,CU00004456,Gold,50000,1353.1,Active
CD00000374,CU00003971,Classic,500000,4102.68,Active
CD00000375,CU00004286,Platinum,100000,20611.9,Active
CD00000376,CU00001678,Classic,500000,13275.56,Blocked
CD00000377,CU00004928,Platinum,50000,31866.88,Active
CD00000378,CU00002712,Classic,50000,11648.4,Active
CD00000379,CU00002323,Gold,50000,30339.52,Active
CD00000380,CU00000070,Platinum,50000,3243.72,Active
CD00000381,CU00000860,Gold,100000,163950.37,Active
CD00000382,CU00001628,Classic,100000,9393.41,Active
CD00000383,CU00000692,Classic,100000,10058.14,Active
CD00000384,CU00002455,Gold,350000,12776.71,Active
CD00000385,CU00000429,Platinum,350000,34771.33,Closed
CD00000386,CU00002723,Gold,50000,7279.93,Active
CD00000387,CU00000768,Classic,200000,32799.51,Active
CD00000388,CU00004361,Gold,50000,11355.29,Blocked
CD00000389,CU00002142,Platinum,500000,9492.22,Active
CD00000390,CU00002775,Classic,500000,682.0,Active
CD00000391,CU00001865,Gold,350000,7321.21,Active
CD00000392,CU00000313,Business,50000,8721.45,Active
CD00000393,CU00002033,Gold,50000,18370.83,Active
CD00000394,CU00004893,Platinum,500000,31875.28,Active
CD00000395,CU00002948,Gold,200000,33111.17,Active
CD00000396,CU00004280,Classic,200000,8638.13,Active
CD00000397,CU00003468,Gold,200000,35923.11,Blocked
CD00000398,CU00004161,Platinum,200000,8118.65,Active
CD00000399,CU00004008,Classic,100000,1438.01,Active
CD00000400,CU00000553,Classic,100000,12401.41,Active
CD00000401,CU00002084,Business,50000,24029.53,Active
CD00000402,CU00001352,Platinum,350000,2477.45,Active
CD00000403,CU00002314,Platinum,100000,2915.91,Active
CD00000404,CU00001877,Business,100000,46710.75,Active
CD00000405,CU00003351,Classic,200000,2790.49,Active
CD00000406,CU00002600,Platinum,350000,5421.06,Active
CD00000407,CU00000581,Gold,500000,6537.82,Active
CD00000408,CU00000338,Platinum,500000,6923.73,Active
CD00000409,CU00002490,Platinum,200000,16730.89,Active
CD00000410,CU00001373,Business,350000,5125.81,Active
CD00000411,CU00000016,Business,200000,4664.99,Active
CD00000412,CU00002426,Business,500000,17228.78,Active
CD00000413,CU00003587,Classic,350000,7360.11,Active
CD00000414,CU00002427,Classic,500000,10119.17,Active
CD00000415,CU00002814,Platinum,500000,6516.53,Active
CD00000416,CU00003125,Classic,350000,68631.15,Active
CD00000417,CU00002371,Business,100000,3353.49,Active
CD00000418,CU00004385,Classic,50000,17040.78,Active
CD00000419,CU00004291,Gold,350000,350.88,Active
CD00000420,CU00004357,Classic,500000,146523.52,Active
CD00000421,CU00003396,Classic,200000,23712.5,Active
CD00000422,CU00004010,Classic,350000,9351.47,Active
CD00000423,CU00004846,Classic,50000,7053.57,Active
CD00000424,CU00000424,Classic,100000,1494.69,Active
CD00000425,CU00000947,Classic,100000,7414.11,Active
CD00000426,CU00000073,Gold,100000,21624.95,Active
CD00000427,CU00003864,Classic,100000,16913.0,Active
CD00000428,CU00000968,Classic,500000,12083.53,Active
CD00000429,CU00000377,Classic,100000,5135.42,Active
CD00000430,CU00001158,Classic,500000,4510.39,Active
CD00000431,CU00003439,Classic,50000,23716.54,Active
CD00000432,CU00004884,Platinum,200000,17109.54,Active
CD00000433,CU00000527,Gold,200000,14029.99,Active
CD00000434,CU00004308,Classic,200000,4661.2,Active
CD00000435,CU00003893,Classic,200000,31268.53,Active
CD00000436,CU00003474,Classic,100000,7890.31,Blocked
CD00000437,CU00001774,Gold,500000,1411.69,Active
CD00000438,CU00000509,Business,200000,13331.74,Active
CD00000439,CU00003306,Gold,500000,5925.13,Active
CD00000440,CU00003953,Classic,50000,3332.23,Active
CD00000441,CU00003738,Classic,50000,9551.22,Active
CD00000442,CU00000001,Classic,50000,2012.93,Active
CD00000443,CU00000647,Platinum,500000,4977.36,Active
CD00000444,CU00002066,Classic,500000,25435.3,Active
CD00000445,CU00001903,Gold,50000,3033.81,Active
CD00000446,CU00002609,Platinum,350000,1738.27,Active
CD00000447,CU00000420,Gold,500000,126178.52,Active
CD00000448,CU00000538,Platinum,50000,11410.87,Active
CD00000449,CU00000312,Gold,50000,5885.7,Active
CD00000450,CU00003887,Business,200000,18849.54,Active
CD00000451,CU00001638,Classic,500000,35055.89,Active
CD00000452,CU00002313,Classic,50000,1166.28,Active
CD00000453,CU00000110,Classic,50000,4786.7,Active
CD00000454,CU00002408,Gold,100000,2984.34,Blocked
CD00000455,CU00004970,Classic,500000,8460.56,Active
CD00000456,CU00003050,Gold,500000,9914.21,Active
CD00000457,CU00003015,Gold,200000,1255.22,Active
CD00000458,CU00000496,Platinum,350000,17022.77,Active
CD00000459,CU00001541,Gold,100000,8076.67,Active
CD00000460,CU00001724,Gold,350000,5388.47,Active
CD00000461,CU00000176,Classic,500000,16623.73,Active
CD00000462,CU00002572,Gold,200000,21043.28,Active
CD00000463,CU00004169,Gold,350000,4642.76,Active
CD00000464,CU00003985,Platinum,50000,5676.38,Active
CD00000465,CU00002783,Classic,200000,12009.37,Active
CD00000466,CU00002998,Platinum,50000,14168.82,Active
CD00000467,CU00004005,Classic,100000,21280.42,Active
CD00000468,CU00003772,Classic,500000,946.19,Active
CD00000469,CU00004527,Gold,500000,15185.08,Active
CD00000470,CU00003123,Classic,200000,6679.32,Active
CD00000471,CU00002043,Classic,500000,6501.57,Active
CD00000472,CU00001766,Platinum,100000,3013.27,Active
CD00000473,CU00001786,Business,350000,108787.16,Active
CD00000474,CU00004471,Business,50000,16561.82,Active
CD00000475,CU00001518,Gold,50000,21848.25,Active
CD00000476,CU00004037,Business,500000,7843.11,Active
CD00000477,CU00003376,Gold,200000,4867.18,Active
CD00000478,CU00001326,Gold,200000,2400.81,Active
CD00000479,CU00003412,Business,350000,30436.64,Active
CD00000480,CU00001869,Gold,200000,14769.27,Active
CD00000481,CU00004904,Business,100000,10857.47,Active
CD00000482,CU00004962,Platinum,50000,21040.14,Active
CD00000483,CU00004651,Platinum,500000,44865.45,Active
CD00000484,CU00000690,Gold,50000,31517.13,Active
CD00000485,CU00004875,Gold,50000,52819.56,Active
CD00000486,CU00004714,Platinum,350000,8150.16,Active
CD00000487,CU00002943,Gold,500000,8161.1,Active
CD00000488,CU00000978,Platinum,50000,6022.32,Active
CD00000489,CU00003253,Classic,50000,23543.17,Active
CD00000490,CU00000352,Classic,350000,16900.28,Active
CD00000491,CU00001273,Classic,100000,5022.9,Active
CD00000492,CU00003097,Classic,500000,14892.47,Active
CD00000493,CU00004434,Classic,350000,821.99,Active
CD00000494,CU00002976,Platinum,500000,15011.72,Active
CD00000495,CU00003255,Classic,500000,14453.75,Active
CD00000496,CU00004614,Business,500000,44371.84,Active
CD00000497,CU00004923,Classic,100000,5568.29,Active
CD00000498,CU00000877,Gold,50000,6481.15,Active
CD00000499,CU00003307,Gold,100000,5316.07,Active
CD00000500,CU00001370,Classic,350000,10673.3,Active
CD00000501,CU00001687,Gold,350000,25031.92,Active
CD00000502,CU00000129,Classic,50000,43571.6,Active
CD00000503,CU00003535,Business,200000,15464.57,Active
CD00000504,CU00001636,Classic,350000,40603.03,Closed
CD00000505,CU00001835,Platinum,200000,6170.03,Active
CD00000506,CU00000349,Gold,50000,7039.64,Active
CD00000507,CU00000909,Classic,50000,10671.66,Active
CD00000508,CU00004031,Platinum,200000,8949.32,Active
CD00000509,CU00001856,Platinum,500000,77663.05,Blocked
CD00000510,CU00003997,Gold,500000,11483.78,Active
CD00000511,CU00002868,Gold,200000,11416.72,Active
CD00000512,CU00001598,Platinum,500000,9026.29,Active
