loan_id,customer_id,branch_id,loan_type,origination_date,principal_amount,outstanding_amount,interest_rate,term_months,days_past_due,credit_score,loan_status
LN00000150,CU00003799,BR024,Vehicle,2021-01-22,150685.96,29898.48,16.14,180,0,722,Current
LN00000151,CU00004803,BR012,Personal,2023-07-28,696458.95,644482.15,17.37,120,0,803,Current
LN00000152,CU00004470,BR007,Personal,2024-01-22,452043.28,382849.22,10.85,12,0,744,Current
LN00000153,CU00003871,BR007,Personal,2023-09-28,229624.1,105634.64,10.56,60,0,715,Current
LN00000154,CU00002199,BR011,Home,2023-03-30,95780.66,84991.07,11.26,60,0,811,Current
LN00000155,CU00003118,BR008,Business,2020-12-30,262873.88,110788.68,10.51,180,0,758,Current
LN00000156,CU00001872,BR013,Personal,2023-01-12,349263.06,118238.65,19.26,240,0,718,Current
LN00000157,CU00003803,BR004,Home,2026-03-06,71786.28,23704.61,15.77,36,15,703,Current
LN00000158,CU00002044,BR022,Personal,2021-09-27,274969.61,226438.5,10.27,36,0,798,Current
LN00000159,CU00001266,BR023,Personal,2020-12-12,78312.9,15232.4,8.29,24,0,739,Current
LN00000160,CU00004216,BR022,Personal,2021-06-18,1786947.18,1448800.36,9.66,60,0,755,Current
LN00000161,CU00001637,BR024,Home,2025-03-17,3989558.71,988965.26,16.96,240,60,751,Delinquent
LN00000162,CU00001002,BR023,Personal,2026-01-23,129926.2,89828.77,19.15,60,0,737,Current
LN00000163,CU00000490,BR006,Personal,2025-05-11,340856.34,120735.09,15.23,12,0,761,Current
LN00000164,CU00000168,BR007,Business,2025-08-07,304643.18,67221.87,13.98,24,0,629,Current
LN00000165,CU00003386,BR015,Home,2023-10-27,220558.9,101709.56,11.82,240,0,649,Current
LN00000166,CU00001871,BR003,Education,2021-01-28,91477.6,74301.12,12.8,240,90,730,Non-performing
LN00000167,CU00000330,BR007,Personal,2025-08-22,660778.11,505325.75,9.76,36,0,657,Current
LN00000168,CU00002780,BR010,Home,2022-12-25,1660485.78,1359492.08,19.03,60,30,583,Delinquent
LN00000169,CU00004706,BR004,Home,2022-06-05,166865.51,145133.56,15.47,12,0,664,Current
LN00000170,CU00004852,BR018,Vehicle,2025-09-13,5161870.99,697743.18,18.15,12,0,658,Current
LN00000171,CU00000170,BR007,Home,2026-05-21,146146.09,75093.38,10.41,180,0,719,Current
LN00000172,CU00003309,BR009,Personal,2024-08-19,143292.65,120511.43,9.56,180,30,789,Delinquent
LN00000173,CU00001742,BR023,Personal,2024-08-23,578382.67,432940.4,18.31,60,0,621,Current
LN00000174,CU00002699,BR012,Home,2024-07-25,331855.99,99356.89,15.52,24,0,763,Current
LN00000175,CU00000671,BR004,Home,2026-02-18,1543129.37,1072647.97,11.01,60,0,734,Current
LN00000176,CU00004209,BR005,Personal,2021-05-18,579177.52,403065.06,8.82,60,0,689,Current
LN00000177,CU00002108,BR021,Vehicle,2025-06-25,88577.93,49853.33,17.06,180,0,850,Current
LN00000178,CU00000058,BR024,Education,2020-10-01,147712.82,27268.86,17.01,60,15,708,Current
LN00000179,CU00002735,BR011,Personal,2024-09-04,63782.3,35134.0,15.3,180,0,691,Current
LN00000180,CU00002609,BR016,Personal,2024-06-03,308737.55,272862.18,17.26,36,0,750,Current
LN00000181,CU00000180,BR010,Vehicle,2024-11-16,804207.83,432552.12,15.45,12,0,613,Current
LN00000182,CU00003738,BR024,Home,2026-05-02,637944.48,403674.93,7.98,60,0,675,Current
LN00000183,CU00001884,BR007,Business,2024-11-03,178995.2,109627.95,8.41,36,90,625,Non-performing
LN00000184,CU00003682,BR004,Education,2025-03-05,105386.08,41240.88,19.13,24,0,642,Current
LN00000185,CU00000501,BR005,Personal,2026-06-30,2112939.84,1912031.53,9.84,240,0,821,Current
LN00000186,CU00004752,BR009,Education,2024-06-08,612500.12,538126.88,9.92,36,0,804,Current
LN00000187,CU00002817,BR011,Personal,2025-02-08,208770.09,121487.91,10.72,120,0,675,Current
LN00000188,CU00004995,BR018,Education,2021-06-15,337463.51,314100.9,11.48,180,0,653,Current
LN00000189,CU00002875,BR007,Business,2023-10-30,291403.86,63093.13,18.94,180,0,727,Current
LN00000190,CU00001647,BR012,Education,2025-05-01,427791.52,328765.31,8.55,12,0,706,Current
LN00000191,CU00002375,BR011,Education,2024-01-29,217989.84,176100.92,14.61,240,30,752,Delinquent
LN00000192,CU00000350,BR001,Personal,2026-07-15,197145.01,149636.86,7.98,120,0,659,Current
LN00000193,CU00001498,BR005,Home,2022-07-08,401915.07,73030.03,9.88,60,0,702,Current
LN00000194,CU00000543,BR012,Vehicle,2025-12-06,1273240.47,192135.37,8.34,12,0,769,Current
LN00000195,CU00000282,BR008,Vehicle,2024-08-24,418805.53,184132.12,16.03,12,0,668,Current
LN00000196,CU00002159,BR017,Vehicle,2023-09-08,962580.31,310622.4,15.44,36,0,762,Current
LN00000197,CU00002091,BR003,Home,2023-06-19,494738.85,438883.73,13.68,60,0,643,Current
LN00000198,CU00002180,BR006,Business,2020-09-30,1871227.97,1482421.21,18.1,180,0,662,Current
LN00000199,CU00003684,BR015,Home,2022-12-01,973550.56,742166.26,10.82,60,0,715,Current
LN00000200,CU00002624,BR015,Personal,2020-08-23,1736539.07,1133509.03,18.04,240,0,606,Current
LN00000201,CU00001346,BR023,Home,2020-11-30,438316.0,308401.68,13.55,180,0,609,Current
LN00000202,CU00003825,BR013,Personal,2024-03-09,896703.29,250577.54,18.72,12,0,763,Current
LN00000203,CU00003928,BR021,Home,2025-08-10,215885.96,47981.65,10.06,180,0,704,Current
LN00000204,CU00001474,BR015,Home,2023-04-22,851294.61,731905.49,7.89,120,15,741,Current
LN00000205,CU00002468,BR024,Business,2025-01-07,202313.94,93792.19,13.32,60,15,679,Current
LN00000206,CU00004126,BR020,Business,2022-11-01,1123864.04,554181.57,11.29,240,0,700,Current
LN00000207,CU00003304,BR002,Home,2022-11-05,87192.57,58950.63,12.2,240,0,614,Current
LN00000208,CU00004105,BR011,Home,2024-05-09,261543.8,195253.26,17.17,12,0,739,Current
LN00000209,CU00000476,BR013,Vehicle,2023-09-24,151194.12,96469.59,11.06,120,0,779,Current
LN00000210,CU00003577,BR020,Home,2026-01-17,244336.46,37390.01,14.08,24,0,821,Current
LN00000211,CU00001061,BR007,Education,2026-05-05,309073.86,119726.3,11.96,120,30,622,Delinquent
LN00000212,CU00002460,BR001,Home,2024-01-18,411748.9,308238.5,12.39,24,15,672,Current
LN00000213,CU00000311,BR012,Personal,2021-02-07,5716854.92,2767692.33,14.04,180,15,812,Current
LN00000214,CU00002204,BR013,Home,2024-06-28,321466.77,308525.46,14.6,60,15,655,Current
LN00000215,CU00004460,BR021,Education,2022-12-08,143510.35,20107.04,17.64,12,90,726,Non-performing
LN00000216,CU00001938,BR022,Vehicle,2025-10-31,394996.7,373857.62,9.06,24,0,677,Current
LN00000217,CU00003947,BR006,Business,2022-03-12,909666.29,378236.43,16.21,180,90,753,Non-performing
LN00000218,CU00001768,BR013,Education,2022-07-06,118060.37,57004.06,13.02,120,0,722,Current
LN00000219,CU00000910,BR005,Business,2022-04-09,336449.94,303797.4,7.84,36,0,592,Current
LN00000220,CU00001586,BR017,Home,2025-01-23,170633.91,147799.46,16.03,12,0,693,Current
LN00000221,CU00001350,BR002,Home,2025-07-07,597943.16,183102.54,8.38,12,0,678,Current
LN00000222,CU00003658,BR009,Education,2021-07-13,1504901.98,755087.6,8.24,120,15,845,Current
LN00000223,CU00002274,BR010,Home,2024-04-29,119772.62,33774.45,18.27,120,0,797,Current
LN00000224,CU00004045,BR023,Business,2023-04-30,3487409.31,3185320.85,18.34,12,0,690,Current
LN00000225,CU00004191,BR002,Personal,2025-10-10,970549.17,403624.89,11.5,12,0,682,Current
LN00000226,CU00004208,BR017,Vehicle,2021-03-27,1161344.82,260065.22,14.62,240,0,812,Current
LN00000227,CU00000882,BR006,Personal,2024-11-01,592565.87,560129.6,11.88,120,0,674,Current
LN00000228,CU00001480,BR019,Vehicle,2022-05-16,423912.53,170273.22,7.66,24,0,664,Current
LN00000229,CU00002876,BR017,Vehicle,2021-12-03,241271.48,208032.49,19.41,240,15,645,Current
LN00000230,CU00001729,BR014,Personal,2026-07-07,130360.68,113225.38,11.11,24,0,716,Current
LN00000231,CU00004825,BR006,Personal,2023-12-05,333635.17,164223.47,14.76,120,0,765,Current
LN00000232,CU00004753,BR023,Home,2023-01-16,1293461.58,1234226.06,11.5,24,0,774,Current
LN00000233,CU00003199,BR023,Business,2020-11-25,107140.08,34862.23,14.4,120,0,850,Current
LN00000234,CU00004187,BR022,Education,2021-08-30,678831.1,608722.79,18.28,240,0,742,Current
LN00000235,CU00002577,BR007,Home,2022-08-20,503901.11,438512.88,13.4,120,0,677,Current
LN00000236,CU00002387,BR019,Education,2025-07-07,491728.98,225260.91,14.61,12,0,808,Current
LN00000237,CU00004279,BR016,Personal,2023-01-19,360052.26,326178.7,8.33,240,0,844,Current
LN00000238,CU00002680,BR003,Vehicle,2022-01-09,189133.51,176031.4,15.46,120,0,825,Current
LN00000239,CU00003581,BR020,Home,2021-09-17,949927.96,893088.17,19.46,180,0,702,Current
LN00000240,CU00000832,BR013,Personal,2022-01-07,395581.89,169026.12,8.15,12,0,640,Current
LN00000241,CU00004211,BR022,Personal,2024-02-15,211166.3,67659.38,10.1,60,0,810,Current
LN00000242,CU00004735,BR020,Personal,2025-04-29,849187.07,437072.54,14.2,24,0,724,Current
LN00000243,CU00002066,BR019,Personal,2020-10-10,218943.99,125845.77,19.19,36,0,756,Current
LN00000244,CU00004343,BR002,Home,2026-06-27,583050.65,427098.17,8.55,180,0,687,Current
LN00000245,CU00000225,BR008,Business,2024-04-25,224049.42,189962.66,12.58,120,30,711,Delinquent
LN00000246,CU00001275,BR007,Business,2026-06-19,189588.72,119019.66,15.29,24,30,750,Delinquent
LN00000247,CU00004581,BR017,Home,2025-12-10,50000.0,12102.67,17.38,24,0,756,Current
LN00000248,CU00001127,BR011,Home,2024-05-08,1809487.44,1219254.47,8.47,120,0,731,Current
LN00000249,CU00004160,BR007,Home,2025-01-11,1850439.44,1704197.62,13.37,120,0,619,Current
LN00000250,CU00000550,BR005,Vehicle,2023-05-08,136914.07,58257.66,16.92,120,0,841,Current
LN00000251,CU00001231,BR005,Personal,2025-03-08,451884.8,241893.49,12.73,36,0,737,Current
LN00000252,CU00000358,BR004,Home,2025-06-30,328988.47,139510.29,13.1,24,0,783,Current
LN00000253,CU00002692,BR002,Personal,2022-12-09,277411.74,182753.33,10.89,36,0,850,Current
LN00000254,CU00002623,BR021,Vehicle,2023-08-27,183835.42,61562.12,11.27,24,0,702,Current
LN00000255,CU00002863,BR001,Home,2023-07-28,180009.32,41542.73,15.6,60,0,588,Current
LN00000256,CU00004975,BR005,Vehicle,2025-06-28,901407.71,712670.44,17.28,24,0,708,Current
LN00000257,CU00001713,BR023,Vehicle,2023-06-10,535997.55,299227.15,15.14,240,15,759,Current
LN00000258,CU00004013,BR009,Personal,2023-04-02,604280.98,148969.12,16.43,120,0,812,Current
LN00000259,CU00003753,BR017,Education,2023-08-09,544597.84,86126.58,17.58,120,0,682,Current
LN00000260,CU00004829,BR008,Home,2025-07-28,567387.33,436720.75,9.42,12,30,697,Delinquent
LN00000261,CU00001042,BR002,Personal,2025-08-13,536575.4,232510.78,11.41,60,60,688,Delinquent
LN00000262,CU00000052,BR020,Personal,2020-10-09,953773.55,575395.89,18.31,180,0,625,Current
LN00000263,CU00001920,BR008,Personal,2023-12-19,50000.0,9014.86,8.26,120,15,690,Current
LN00000264,CU00000443,BR015,Vehicle,2023-04-10,970156.97,906185.94,17.29,120,0,792,Current
LN00000265,CU00004870,BR006,Personal,2026-06-19,1232379.39,734349.85,14.2,12,120,757,Non-performing
LN00000266,CU00002467,BR022,Business,2023-08-05,2252554.79,1058887.43,11.11,120,0,732,Current
LN00000267,CU00000488,BR005,Vehicle,2023-08-06,784269.28,731438.55,18.47,24,60,850,Delinquent
LN00000268,CU00004285,BR013,Home,2026-04-27,726045.85,444681.83,16.41,60,0,850,Current
LN00000269,CU00002534,BR015,Home,2020-09-29,225431.11,44902.78,15.48,36,15,662,Current
LN00000270,CU00000149,BR013,Business,2022-04-16,390190.99,67052.09,8.54,60,0,823,Current
LN00000271,CU00002492,BR023,Home,2021-01-12,467766.03,144498.69,7.72,24,0,744,Current
LN00000272,CU00004465,BR017,Personal,2024-10-17,2057995.36,1304775.42,10.65,36,90,689,Non-performing
LN00000273,CU00000689,BR005,Home,2026-04-22,623369.53,494023.58,10.57,120,0,777,Current
LN00000274,CU00001961,BR020,Home,2025-06-20,312258.08,75119.53,12.05,60,0,749,Current
