balance_snapshot_id,snapshot_date,account_id,ending_balance
BS0000000170,2025-09-30,AC00000170,37249.99
BS0000000171,2025-09-30,AC00000171,585528.43
BS0000000172,2025-09-30,AC00000172,4611.17
BS0000000173,2025-09-30,AC00000173,41309.4
BS0000000174,2025-09-30,AC00000174,9633.61
BS0000000175,2025-09-30,AC00000175,7379.54
BS0000000176,2025-09-30,AC00000176,48757.25
BS0000000177,2025-09-30,AC00000177,77946.19
BS0000000178,2025-09-30,AC00000178,22255.46
BS0000000179,2025-09-30,AC00000179,6509.68
BS0000000180,2025-09-30,AC00000180,79465.97
BS0000000181,2025-09-30,AC00000181,17668.67
BS0000000182,2025-09-30,AC00000182,186670.18
BS0000000183,2025-09-30,AC00000183,14800.36
BS0000000184,2025-09-30,AC00000184,27883.92
BS0000000185,2025-09-30,AC00000185,2343.62
BS0000000186,2025-09-30,AC00000186,44143.4
BS0000000187,2025-09-30,AC00000187,22216.7
BS0000000188,2025-09-30,AC00000188,91355.76
BS0000000189,2025-09-30,AC00000189,18636.19
BS0000000190,2025-09-30,AC00000190,16747.18
BS0000000191,2025-09-30,AC00000191,91788.87
BS0000000192,2025-09-30,AC00000192,27094.19
BS0000000193,2025-09-30,AC00000193,7390.26
BS0000000194,2025-09-30,AC00000194,21977.32
BS0000000195,2025-09-30,AC00000195,706972.37
BS0000000196,2025-09-30,AC00000196,57106.11
BS0000000197,2025-09-30,AC00000197,26481.54
BS0000000198,2025-09-30,AC00000198,13276.88
BS0000000199,2025-09-30,AC00000199,44913.07
BS0000000200,2025-09-30,AC00000200,94401.75
BS0000000201,2025-09-30,AC00000201,85899.23
BS0000000202,2025-09-30,AC00000202,436849.25
BS0000000203,2025-09-30,AC00000203,30386.63
BS0000000204,2025-09-30,AC00000204,54964.66
BS0000000205,2025-09-30,AC00000205,13508.59
BS0000000206,2025-09-30,AC00000206,20433.35
BS0000000207,2025-09-30,AC00000207,66526.65
BS0000000208,2025-09-30,AC00000208,2987.19
BS0000000209,2025-09-30,AC00000209,28640.09
BS0000000210,2025-09-30,AC00000210,18861.91
BS0000000211,2025-09-30,AC00000211,9644.31
BS0000000212,2025-09-30,AC00000212,135898.54
BS0000000213,2025-09-30,AC00000213,118974.45
BS0000000214,2025-09-30,AC00000214,192973.9
BS0000000215,2025-09-30,AC00000215,24827.45
BS0000000216,2025-09-30,AC00000216,15941.78
BS0000000217,2025-09-30,AC00000217,13475.27
BS0000000218,2025-09-30,AC00000218,7320.39
BS0000000219,2025-09-30,AC00000219,26631.02
BS0000000220,2025-09-30,AC00000220,33733.15
BS0000000221,2025-09-30,AC00000221,12817.48
BS0000000222,2025-09-30,AC00000222,74375.67
BS0000000223,2025-09-30,AC00000223,21243.18
BS0000000224,2025-09-30,AC00000224,7006.28
BS0000000225,2025-09-30,AC00000225,21505.63
BS0000000226,2025-09-30,AC00000226,98788.86
BS0000000227,2025-09-30,AC00000227,101919.42
BS0000000228,2025-09-30,AC00000228,61272.19
BS0000000229,2025-09-30,AC00000229,14193.9
BS0000000230,2025-09-30,AC00000230,154216.97
BS0000000231,2025-09-30,AC00000231,115286.48
BS0000000232,2025-09-30,AC00000232,12974.99
BS0000000233,2025-09-30,AC00000233,9159.3
BS0000000234,2025-09-30,AC00000234,20208.65
BS0000000235,2025-09-30,AC00000235,112263.27
BS0000000236,2025-09-30,AC00000236,17012.1
BS0000000237,2025-09-30,AC00000237,92504.14
BS0000000238,2025-09-30,AC00000238,2261.55
BS0000000239,2025-09-30,AC00000239,9821.51
BS0000000240,2025-09-30,AC00000240,44535.98
BS0000000241,2025-09-30,AC00000241,7430.89
BS0000000242,2025-09-30,AC00000242,7335.02
BS0000000243,2025-09-30,AC00000243,25977.07
BS0000000244,2025-09-30,AC00000244,64677.0
BS0000000245,2025-09-30,AC00000245,36845.23
BS0000000246,2025-09-30,AC00000246,13607.0
BS0000000247,2025-09-30,AC00000247,48165.48
BS0000000248,2025-09-30,AC00000248,8450.43
BS0000000249,2025-09-30,AC00000249,36616.76
BS0000000250,2025-09-30,AC00000250,13582.23
BS0000000251,2025-09-30,AC00000251,19762.82
BS0000000252,2025-09-30,AC00000252,158351.26
BS0000000253,2025-09-30,AC00000253,6887.79
BS0000000254,2025-09-30,AC00000254,13899.83
BS0000000255,2025-09-30,AC00000255,17905.02
BS0000000256,2025-09-30,AC00000256,24061.6
BS0000000257,2025-09-30,AC00000257,60878.5
BS0000000258,2025-09-30,AC00000258,274575.33
BS0000000259,2025-09-30,AC00000259,13906.38
BS0000000260,2025-09-30,AC00000260,10978.02
BS0000000261,2025-09-30,AC00000261,15012.69
BS0000000262,2025-09-30,AC00000262,23663.87
BS0000000263,2025-09-30,AC00000263,47745.82
BS0000000264,2025-09-30,AC00000264,113405.33
BS0000000265,2025-09-30,AC00000265,44487.84
BS0000000266,2025-09-30,AC00000266,96743.19
BS0000000267,2025-09-30,AC00000267,112292.87
BS0000000268,2025-09-30,AC00000268,112788.97
BS0000000269,2025-09-30,AC00000269,8954.31
BS0000000270,2025-09-30,AC00000270,66950.5
BS0000000271,2025-09-30,AC00000271,18602.03
BS0000000272,2025-09-30,AC00000272,491829.94
BS0000000273,2025-09-30,AC00000273,72938.46
BS0000000274,2025-09-30,AC00000274,51813.49
BS0000000275,2025-09-30,AC00000275,47796.78
BS0000000276,2025-09-30,AC00000276,14408.74
BS0000000277,2025-09-30,AC00000277,26969.79
BS0000000278,2025-09-30,AC00000278,17820.84
BS0000000279,2025-09-30,AC00000279,232501.39
BS0000000280,2025-09-30,AC00000280,22409.41
BS0000000281,2025-09-30,AC00000281,19887.96
BS0000000282,2025-09-30,AC00000282,57577.58
BS0000000283,2025-09-30,AC00000283,6119.15
BS0000000284,2025-09-30,AC00000284,21472.41
BS0000000285,2025-09-30,AC00000285,40905.18
BS0000000286,2025-09-30,AC00000286,11804.93
BS0000000287,2025-09-30,AC00000287,34732.14
BS0000000288,2025-09-30,AC00000288,13254.33
BS0000000289,2025-09-30,AC00000289,21617.2
BS0000000290,2025-09-30,AC00000290,53980.08
BS0000000291,2025-09-30,AC00000291,45467.28
BS0000000292,2025-09-30,AC00000292,87050.88
BS0000000293,2025-09-30,AC00000293,18212.89
BS0000000294,2025-09-30,AC00000294,564876.29
BS0000000295,2025-09-30,AC00000295,37878.38
BS0000000296,2025-09-30,AC00000296,22722.19
BS0000000297,2025-09-30,AC00000297,18832.18
BS0000000298,2025-09-30,AC00000298,7380.26
BS0000000299,2025-09-30,AC00000299,33680.27
BS0000000300,2025-09-30,AC00000300,256865.32
BS0000000301,2025-09-30,AC00000301,37391.44
BS0000000302,2025-09-30,AC00000302,21663.8
BS0000000303,2025-09-30,AC00000303,22690.72
BS0000000304,2025-09-30,AC00000304,26914.36
BS0000000305,2025-09-30,AC00000305,10791.6
BS0000000306,2025-09-30,AC00000306,3632.51
BS0000000307,2025-09-30,AC00000307,17282.47
BS0000000308,2025-09-30,AC00000308,7605.51
BS0000000309,2025-09-30,AC00000309,53845.76
BS0000000310,2025-09-30,AC00000310,5431.63
BS0000000311,2025-09-30,AC00000311,22850.75
BS0000000312,2025-09-30,AC00000312,19731.43
BS0000000313,2025-09-30,AC00000313,47047.2
BS0000000314,2025-09-30,AC00000314,5039.21
BS0000000315,2025-09-30,AC00000315,16186.34
BS0000000316,2025-09-30,AC00000316,79030.69
BS0000000317,2025-09-30,AC00000317,32044.63
BS0000000318,2025-09-30,AC00000318,142677.21
BS0000000319,2025-09-30,AC00000319,17113.12
BS0000000320,2025-09-30,AC00000320,20762.94
BS0000000321,2025-09-30,AC00000321,17286.07
BS0000000322,2025-09-30,AC00000322,46898.37
BS0000000323,2025-09-30,AC00000323,378200.38
BS0000000324,2025-09-30,AC00000324,13200.78
BS0000000325,2025-09-30,AC00000325,21993.32
BS0000000326,2025-09-30,AC00000326,5914.38
BS0000000327,2025-09-30,AC00000327,325491.69
BS0000000328,2025-09-30,AC00000328,7721.55
BS0000000329,2025-09-30,AC00000329,20802.81
BS0000000330,2025-09-30,AC00000330,25171.83
BS0000000331,2025-09-30,AC00000331,2429.25
BS0000000332,2025-09-30,AC00000332,49289.71
BS0000000333,2025-09-30,AC00000333,29851.85
BS0000000334,2025-09-30,AC00000334,58930.77
BS0000000335,2025-09-30,AC00000335,6902.02
BS0000000336,2025-09-30,AC00000336,36691.06
BS0000000337,2025-09-30,AC00000337,42624.64
BS0000000338,2025-09-30,AC00000338,16258.42
BS0000000339,2025-09-30,AC00000339,2758.24
BS0000000340,2025-09-30,AC00000340,49008.31
BS0000000341,2025-09-30,AC00000341,11162.31
BS0000000342,2025-09-30,AC00000342,18051.45
BS0000000343,2025-09-30,AC00000343,10344.04
BS0000000344,2025-09-30,AC00000344,33987.51
BS0000000345,2025-09-30,AC00000345,397015.05
BS0000000346,2025-09-30,AC00000346,19106.27
BS0000000347,2025-09-30,AC00000347,31522.67
BS0000000348,2025-09-30,AC00000348,195858.14
BS0000000349,2025-09-30,AC00000349,2667.04
BS0000000350,2025-09-30,AC00000350,34035.68
BS0000000351,2025-09-30,AC00000351,4876.64
BS0000000352,2025-09-30,AC00000352,35175.0
BS0000000353,2025-09-30,AC00000353,98377.73
BS0000000354,2025-09-30,AC00000354,31550.13
BS0000000355,2025-09-30,AC00000355,38590.3
BS0000000356,2025-09-30,AC00000356,28744.14
BS0000000357,2025-09-30,AC00000357,10806.47
BS0000000358,2025-09-30,AC00000358,9242.79
BS0000000359,2025-09-30,AC00000359,376324.56
BS0000000360,2025-09-30,AC00000360,1035605.22
BS0000000361,2025-09-30,AC00000361,3260.96
BS0000000362,2025-09-30,AC00000362,96200.39
BS0000000363,2025-09-30,AC00000363,400023.64
BS0000000364,2025-09-30,AC00000364,106528.67
BS0000000365,2025-09-30,AC00000365,21400.82
BS0000000366,2025-09-30,AC00000366,105955.83
BS0000000367,2025-09-30,AC00000367,22301.36
BS0000000368,2025-09-30,AC00000368,27004.58
BS0000000369,2025-09-30,AC00000369,16216.6
BS0000000370,2025-09-30,AC00000370,24091.51
BS0000000371,2025-09-30,AC00000371,22548.17
BS0000000372,2025-09-30,AC00000372,35788.25
BS0000000373,2025-09-30,AC00000373,25656.6
BS0000000374,2025-09-30,AC00000374,203065.66
BS0000000375,2025-09-30,AC00000375,7668.29
BS0000000376,2025-09-30,AC00000376,47607.66
BS0000000377,2025-09-30,AC00000377,271004.88
BS0000000378,2025-09-30,AC00000378,7502.33
BS0000000379,2025-09-30,AC00000379,24824.27
BS0000000380,2025-09-30,AC00000380,473199.65
BS0000000381,2025-09-30,AC00000381,6157.2
BS0000000382,2025-09-30,AC00000382,11919.42
BS0000000383,2025-09-30,AC00000383,23141.06
BS0000000384,2025-09-30,AC00000384,9289.48
BS0000000385,2025-09-30,AC00000385,7435.22
BS0000000386,2025-09-30,AC00000386,108584.06
BS0000000387,2025-09-30,AC00000387,66217.94
BS0000000388,2025-09-30,AC00000388,9533.21
BS0000000389,2025-09-30,AC00000389,96793.93
BS0000000390,2025-09-30,AC00000390,32184.49
BS0000000391,2025-09-30,AC00000391,8117.97
BS0000000392,2025-09-30,AC00000392,19125.13
BS0000000393,2025-09-30,AC00000393,63454.25
BS0000000394,2025-09-30,AC00000394,12931.11
BS0000000395,2025-09-30,AC00000395,5412.86
BS0000000396,2025-09-30,AC00000396,6028.96
BS0000000397,2025-09-30,AC00000397,2482.64
BS0000000398,2025-09-30,AC00000398,45687.58
BS0000000399,2025-09-30,AC00000399,20882.44
BS0000000400,2025-09-30,AC00000400,179246.54
BS0000000401,2025-09-30,AC00000401,7816.85
BS0000000402,2025-09-30,AC00000402,98645.84
BS0000000403,2025-09-30,AC00000403,10668.85
BS0000000404,2025-09-30,AC00000404,8902.94
BS0000000405,2025-09-30,AC00000405,31882.63
BS0000000406,2025-09-30,AC00000406,14423.78
BS0000000407,2025-09-30,AC00000407,26502.5
BS0000000408,2025-09-30,AC00000408,191643.65
BS0000000409,2025-09-30,AC00000409,144394.78
BS0000000410,2025-09-30,AC00000410,31754.0
BS0000000411,2025-09-30,AC00000411,740675.69
BS0000000412,2025-09-30,AC00000412,152192.09
BS0000000413,2025-09-30,AC00000413,110040.82
BS0000000414,2025-09-30,AC00000414,42112.07
BS0000000415,2025-09-30,AC00000415,49196.99
BS0000000416,2025-09-30,AC00000416,54976.89
BS0000000417,2025-09-30,AC00000417,27173.48
BS0000000418,2025-09-30,AC00000418,191588.44
BS0000000419,2025-09-30,AC00000419,15918.79
BS0000000420,2025-09-30,AC00000420,44418.36
BS0000000421,2025-09-30,AC00000421,51545.37
BS0000000422,2025-09-30,AC00000422,44622.02
BS0000000423,2025-09-30,AC00000423,26298.82
BS0000000424,2025-09-30,AC00000424,112499.08
BS0000000425,2025-09-30,AC00000425,49753.34
BS0000000426,2025-09-30,AC00000426,44702.17
BS0000000427,2025-09-30,AC00000427,94644.11
BS0000000428,2025-09-30,AC00000428,40374.81
BS0000000429,2025-09-30,AC00000429,29924.24
BS0000000430,2025-09-30,AC00000430,3416.95
BS0000000431,2025-09-30,AC00000431,3008.8
BS0000000432,2025-09-30,AC00000432,46521.96
BS0000000433,2025-09-30,AC00000433,54914.02
BS0000000434,2025-09-30,AC00000434,71997.99
BS0000000435,2025-09-30,AC00000435,89854.58
BS0000000436,2025-09-30,AC00000436,4854.13
BS0000000437,2025-09-30,AC00000437,101081.07
BS0000000438,2025-09-30,AC00000438,12191.15
BS0000000439,2025-09-30,AC00000439,390343.18
BS0000000440,2025-09-30,AC00000440,50928.13
BS0000000441,2025-09-30,AC00000441,15955.94
BS0000000442,2025-09-30,AC00000442,186151.76
BS0000000443,2025-09-30,AC00000443,50571.23
BS0000000444,2025-09-30,AC00000444,28616.37
BS0000000445,2025-09-30,AC00000445,12803.98
BS0000000446,2025-09-30,AC00000446,7122.89
BS0000000447,2025-09-30,AC00000447,30482.87
BS0000000448,2025-09-30,AC00000448,10860.92
BS0000000449,2025-09-30,AC00000449,19614.32
BS0000000450,2025-09-30,AC00000450,3308.6
BS0000000451,2025-09-30,AC00000451,96761.49
BS0000000452,2025-09-30,AC00000452,16926.74
BS0000000453,2025-09-30,AC00000453,40659.22
BS0000000454,2025-09-30,AC00000454,32327.69
BS0000000455,2025-09-30,AC00000455,169571.14
BS0000000456,2025-09-30,AC00000456,755893.56
BS0000000457,2025-09-30,AC00000457,9407.91
BS0000000458,2025-09-30,AC00000458,41676.68
BS0000000459,2025-09-30,AC00000459,17119.54
BS0000000460,2025-09-30,AC00000460,429363.55
BS0000000461,2025-09-30,AC00000461,108636.42
BS0000000462,2025-09-30,AC00000462,28360.73
BS0000000463,2025-09-30,AC00000463,4030.64
BS0000000464,2025-09-30,AC00000464,37194.5
BS0000000465,2025-09-30,AC00000465,53783.21
BS0000000466,2025-09-30,AC00000466,26447.1
BS0000000467,2025-09-30,AC00000467,52950.18
BS0000000468,2025-09-30,AC00000468,12771.84
BS0000000469,2025-09-30,AC00000469,27401.54
BS0000000470,2025-09-30,AC00000470,8805.24
BS0000000471,2025-09-30,AC00000471,12424.18
BS0000000472,2025-09-30,AC00000472,35785.94
BS0000000473,2025-09-30,AC00000473,13823.64
BS0000000474,2025-09-30,AC00000474,2672.56
BS0000000475,2025-09-30,AC00000475,16349.75
BS0000000476,2025-09-30,AC00000476,36406.62
BS0000000477,2025-09-30,AC00000477,23695.64
BS0000000478,2025-09-30,AC00000478,36916.54
BS0000000479,2025-09-30,AC00000479,5550.42
BS0000000480,2025-09-30,AC00000480,13798.71
BS0000000481,2025-09-30,AC00000481,26811.6
BS0000000482,2025-09-30,AC00000482,29468.75
BS0000000483,2025-09-30,AC00000483,45829.43
BS0000000484,2025-09-30,AC00000484,43394.77
BS0000000485,2025-09-30,AC00000485,24933.79
BS0000000486,2025-09-30,AC00000486,82527.68
BS0000000487,2025-09-30,AC00000487,30921.85
BS0000000488,2025-09-30,AC00000488,144931.94
BS0000000489,2025-09-30,AC00000489,139379.41
BS0000000490,2025-09-30,AC00000490,58844.59
BS0000000491,2025-09-30,AC00000491,23476.64
BS0000000492,2025-09-30,AC00000492,9969.38
BS0000000493,2025-09-30,AC00000493,44783.45
BS0000000494,2025-09-30,AC00000494,173248.84
BS0000000495,2025-09-30,AC00000495,14796.38
BS0000000496,2025-09-30,AC00000496,58621.27
BS0000000497,2025-09-30,AC00000497,177625.94
BS0000000498,2025-09-30,AC00000498,19933.73
BS0000000499,2025-09-30,AC00000499,38594.8
BS0000000500,2025-09-30,AC00000500,34669.96
BS0000000501,2025-09-30,AC00000501,36906.0
BS0000000502,2025-09-30,AC00000502,142379.43
BS0000000503,2025-09-30,AC00000503,13803.64
BS0000000504,2025-09-30,AC00000504,182328.25
BS0000000505,2025-09-30,AC00000505,13168.47
BS0000000506,2025-09-30,AC00000506,15407.03
BS0000000507,2025-09-30,AC00000507,26859.25
BS0000000508,2025-09-30,AC00000508,9459.07
BS0000000509,2025-09-30,AC00000509,29368.85
BS0000000510,2025-09-30,AC00000510,66547.66
BS0000000511,2025-09-30,AC00000511,97877.27
BS0000000512,2025-09-30,AC00000512,31876.87
BS0000000513,2025-09-30,AC00000513,13455.78
BS0000000514,2025-09-30,AC00000514,52218.22
BS0000000515,2025-09-30,AC00000515,2451.28
BS0000000516,2025-09-30,AC00000516,54237.74
BS0000000517,2025-09-30,AC00000517,106188.88
BS0000000518,2025-09-30,AC00000518,17214.26
BS0000000519,2025-09-30,AC00000519,21634.73
BS0000000520,2025-09-30,AC00000520,30057.29
BS0000000521,2025-09-30,AC00000521,23835.98
BS0000000522,2025-09-30,AC00000522,69470.98
BS0000000523,2025-09-30,AC00000523,21941.06
BS0000000524,2025-09-30,AC00000524,5862.99
BS0000000525,2025-09-30,AC00000525,22693.57
BS0000000526,2025-09-30,AC00000526,5455.26
BS0000000527,2025-09-30,AC00000527,14468.49
BS0000000528,2025-09-30,AC00000528,35576.32
BS0000000529,2025-09-30,AC00000529,37653.64
BS0000000530,2025-09-30,AC00000530,36092.41
BS0000000531,2025-09-30,AC00000531,13639.25
BS0000000532,2025-09-30,AC00000532,47333.89
BS0000000533,2025-09-30,AC00000533,489743.4
BS0000000534,2025-09-30,AC00000534,24080.05
BS0000000535,2025-09-30,AC00000535,86395.73
BS0000000536,2025-09-30,AC00000536,28694.23
BS0000000537,2025-09-30,AC00000537,13695.49
BS0000000538,2025-09-30,AC00000538,38464.95
BS0000000539,2025-09-30,AC00000539,205599.63
BS0000000540,2025-09-30,AC00000540,31962.52
BS0000000541,2025-09-30,AC00000541,15042.78
BS0000000542,2025-09-30,AC00000542,29916.25
BS0000000543,2025-09-30,AC00000543,32165.09
BS0000000544,2025-09-30,AC00000544,17322.32
BS0000000545,2025-09-30,AC00000545,36280.12
BS0000000546,2025-09-30,AC00000546,21331.59
BS0000000547,2025-09-30,AC00000547,19789.6
BS0000000548,2025-09-30,AC00000548,113863.07
BS0000000549,2025-09-30,AC00000549,29826.12
BS0000000550,2025-09-30,AC00000550,178261.03
BS0000000551,2025-09-30,AC00000551,132830.49
BS0000000552,2025-09-30,AC00000552,46017.41
BS0000000553,2025-09-30,AC00000553,6833.31
BS0000000554,2025-09-30,AC00000554,8043.79
BS0000000555,2025-09-30,AC00000555,28593.34
BS0000000556,2025-09-30,AC00000556,24406.83
BS0000000557,2025-09-30,AC00000557,33399.71
